"Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","common_name","status","max_grad","rrmse","aic"
0,0,0,0,"TRUE","walleye pollock",NA,NA,NA,NA
1,0,0,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,1,0,0,"TRUE","walleye pollock",NA,NA,NA,NA
1,1,0,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,0,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
1,0,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,1,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
1,1,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,0,0,1,"TRUE","walleye pollock",NA,NA,NA,NA
1,0,0,1,"TRUE","walleye pollock",NA,NA,NA,NA
0,1,0,1,"TRUE","walleye pollock",NA,NA,NA,NA
1,1,0,1,"TRUE","walleye pollock",NA,NA,NA,NA
0,0,1,1,"TRUE","walleye pollock",NA,NA,NA,NA
1,0,1,1,"TRUE","walleye pollock",NA,NA,NA,NA
0,1,1,1,"TRUE","walleye pollock",NA,NA,NA,NA
1,1,1,1,"TRUE","walleye pollock",NA,NA,NA,NA
0,0,0,0,"FALSE","walleye pollock",NA,NA,NA,NA
1,0,0,0,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,0,0,"FALSE","walleye pollock",NA,NA,NA,NA
1,1,0,0,"FALSE","walleye pollock",NA,NA,NA,NA
0,0,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
1,0,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
1,1,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
0,0,0,1,"FALSE","walleye pollock",NA,NA,NA,NA
1,0,0,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,0,1,"FALSE","walleye pollock",NA,NA,NA,NA
1,1,0,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,0,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
1,0,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
1,1,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,0,0,0,"TRUE","Pacific cod",NA,NA,NA,NA
1,0,0,0,"TRUE","Pacific cod",NA,NA,NA,NA
0,1,0,0,"TRUE","Pacific cod",NA,NA,NA,NA
1,1,0,0,"TRUE","Pacific cod",NA,NA,NA,NA
0,0,1,0,"TRUE","Pacific cod",NA,NA,NA,NA
1,0,1,0,"TRUE","Pacific cod",NA,NA,NA,NA
0,1,1,0,"TRUE","Pacific cod",NA,NA,NA,NA
1,1,1,0,"TRUE","Pacific cod",NA,NA,NA,NA
0,0,0,1,"TRUE","Pacific cod",NA,NA,NA,NA
1,0,0,1,"TRUE","Pacific cod",NA,NA,NA,NA
0,1,0,1,"TRUE","Pacific cod",NA,NA,NA,NA
1,1,0,1,"TRUE","Pacific cod",NA,NA,NA,NA
0,0,1,1,"TRUE","Pacific cod",NA,NA,NA,NA
1,0,1,1,"TRUE","Pacific cod",NA,NA,NA,NA
0,1,1,1,"TRUE","Pacific cod",NA,NA,NA,NA
1,1,1,1,"TRUE","Pacific cod",NA,NA,NA,NA
0,0,0,0,"FALSE","Pacific cod",NA,NA,NA,NA
1,0,0,0,"FALSE","Pacific cod",NA,NA,NA,NA
0,1,0,0,"FALSE","Pacific cod",NA,NA,NA,NA
1,1,0,0,"FALSE","Pacific cod",NA,NA,NA,NA
0,0,1,0,"FALSE","Pacific cod",NA,NA,NA,NA
1,0,1,0,"FALSE","Pacific cod",NA,NA,NA,NA
0,1,1,0,"FALSE","Pacific cod",NA,NA,NA,NA
1,1,1,0,"FALSE","Pacific cod",NA,NA,NA,NA
0,0,0,1,"FALSE","Pacific cod",NA,NA,NA,NA
1,0,0,1,"FALSE","Pacific cod",NA,NA,NA,NA
0,1,0,1,"FALSE","Pacific cod",NA,NA,NA,NA
1,1,0,1,"FALSE","Pacific cod",NA,NA,NA,NA
0,0,1,1,"FALSE","Pacific cod",NA,NA,NA,NA
