TaxaID,TSN,Kingdom,Subkingdom,Infrakingdom,Superphylum,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Genus,Subgenus,Species,Subspecies,CommonName,Synonyms,TaxaLink,TaxaComments
832,914166,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,,,,,,,,,,,,,,,Lysareunicidae,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=914166,
833,159048,Animalia,Bilateria,Deuterostomia,,Chordata,Urochordata,Ascidiacea,,,,Enterogona,Aplousobranchia,,,Didemnidae,Didemnum,,Didemnum sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=159048,
834,-130734,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Errantia,Aciculata,,,Phyllodocida,,,,Polynoidae,Bylgides,,Bylgides promamme,,,Antinoe badia; Antinoe promamme; Antinoella sarsi promamme; Harmothoe (Antinoella) badia; Harmothoe (Antinoella) sarsi promamme; Harmothoe badie; Polynoe badia,http://www.marinespecies.org/aphia.php?p=taxdetails&id=130734,Described in WoRMS
835,-102582,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Lysianassidae,Hippomedon,,Hippomedon rylovi,,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=102582,Described in WoRMS
836,692156,,,,,,,,,,,,,,,,,,Aspidophoroides olrikii,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=692156,
837,43620,,,,,,,,,,,,,,,,Liparis,,Liparis sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43620,
838,165265,Animalia,Bilateria,Deuterostomia,,Chordata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,,,Zoarcidae,Lycodes,,Lycodes palearis,,wattled eelpout,Lycodes digitatus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=165265,
839,165266,Animalia,Bilateria,Deuterostomia,,Chordata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,,,Zoarcidae,Lycodes,,Lycodes polaris,,Canadian eelpout,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=165266,
840,164706,Animalia,Bilateria,Deuterostomia,,Chordata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Paracanthopterygii,Gadiformes,,,,Gadidae,Boreogadus,,Boreogadus saida,,Arctic cod; polar cod,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=164706,
841,167275,Animalia,Bilateria,Deuterostomia,,Chordata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,,Cottoidea,Cottidae,Gymnocanthus,,Gymnocanthus tricuspis,,Arctic staghorn sculpin,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=167275,
842,-399228,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Caenogastropoda,,,Neogastropoda,,,Muricoidea,Muricidae,Nodulotrophon,,Nodulotrophon coronatus,,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=399228,Described in WoRMS
843,-168379,Animalia,,,,Porifera,,Demospongiae,Heteroscleromorpha,,,Poecilosclerida,,,,Esperiopsidae,Semisuberites,,Semisuberites cribrosa,,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=168379,Described in WoRMS
844,47771,Animalia,Radiata,,,Porifera,,Demospongiae,,,,Haplosclerida,Haplosclerina,,,Chalinidae,Haliclona,,Haliclona sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=47771,
