"14a(H),17a(H)-20R-Cholestane",,2.812,,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,1.527,,,,,,,
"13b(H),17a(H)-20R-Diacholestane",,0.920,,,,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.905,,,,,,,
"14a(H),17a(H)-20S-Cholestane",,2.591,,,,,,,
"14b(H),17b(H)-20R-Cholestane",,1.727,,,,,,,
"14b(H),17b(H)-20S-Cholestane",,1.640,,,,,,,
"14a(H),17a(H)-20S-methylcholestane",,0.170,U,,,,,,
"14b(H),17b(H)-20R-Methylcholestane",,1.378,,,,,,,
"14b(H),17b(H)-20S-Methylcholestane",,1.385,,,,,,,
"14a(H),17a(H)-20R-methylcholestane ",,1.189,,,,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,1.091,,,,,,,
"14b(H),17b(H)-20R-Ethylcholestane",,2.490,,,,,,,
"14b(H),17b(H)-20S-Ethylcholestane",,1.909,,,,,,,
"14a(H),17a(H)-20R-Ethylcholestane",,2.012,,,,,,,
C23 Tricyclic Terpane,,1.863,,,,,,,
C24 Tricyclic Terpane ,,0.929,J,,,,,,
C25 Tricyclic Terpane,,1.663,,,,,,,
C24 Tetracyclic Terpane,,1.315,J,,,,,,
C26 Tricyclic Terpane-22S,,0.481,J,,,,,,
C26 Tricyclic Terpane-22R,,0.379,J,,,,,,
C28 Tricyclic Terpane-22S,,0.593,U,,,,,,
C28 Tricyclic Terpane-22R,,0.593,U,,,,,,
C29 Tricyclic Terpane-22S,,0.593,U,,,,,,
C29 Tricyclic Terpane-22R,,0.593,U,,,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.656,,,,,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.947,,,,,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,0.593,U,,,,,,
"17a(H),21b(H)-25-Norhopane",,0.593,U,,,,,,
30-Norhopane,,5.723,,,,,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.437,J,,,,,,
17a(H)-Diahopane,,0.593,U,,,,,,
30-Normoretane,,0.593,U,,,,,,
18a(H) & 18b(H)-Oleananes,,0.593,U,,,,,,
"17a(H),21b(H)-hopane",,6.557,,,,,,,
"17b(H),21a(H)-hopane (moretane)",,1.234,J,,,,,,
30-Homohopane-22S,,2.900,,,,,,,
30-Homohopane-22R,,2.211,,,,,,,
"30,31-Bishomohopane-22S",,1.547,J,,,,,,
"30,31-Bishomohopane-22R",,1.021,J,,,,,,
"30,31,32-Trishomohopane-22S",,1.380,J,,,,,,
"30,31,32-Trishomohopane-22R",,0.593,U,,,,,,
"30,31,32,33-Tetrakishomohopane-22S",,0.593,U,,,,,,
"30,31,32,33-Tetrakishomohopane-22R",,0.593,U,,,,,,
"30,31,32,33,34-Pentakishomohopane-22S",,0.593,U,,,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,0.593,U,,,,,,
Priority Pollutant PAH,,149.905,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,69,,,,,,,
Acenaphthene-d10,,77,,,,,,,
Phenanthrene-d10,,80,,,,,,,
Benzo(a)pyrene-d12,,77,,,,,,,
5b(H)-Cholane,,107,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
