,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CD307PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,10/17/14,,,,,,,
Extraction Date,,10/17/14,,,,,,,
Analysis Date,,11/07/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,81.36, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,3.73,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,NG/G_DRY,,,,,,,
,,,,,,,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,1.461,U,,,,,,
"17a(H),21b(H)-25-Norhopane",,1.461,U,,,,,,
30-Norhopane,,1.461,U,,,,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.461,U,,,,,,
17a(H)-Diahopane,,1.461,U,,,,,,
30-Normoretane,,1.461,U,,,,,,
18a(H) & 18b(H)-Oleananes,,1.461,U,,,,,,
"17a(H),21b(H)-hopane",,1.461,U,,,,,,
"17b(H),21a(H)-hopane (moretane)",,1.461,U,,,,,,
30-Homohopane-22S,,1.461,U,,,,,,
30-Homohopane-22R,,1.461,U,,,,,,
"30,31-Bishomohopane-22S",,1.461,U,,,,,,
"30,31-Bishomohopane-22R",,1.461,U,,,,,,
"30,31,32-Trishomohopane-22S",,1.461,U,,,,,,
"30,31,32-Trishomohopane-22R",,1.461,U,,,,,,
"30,31,32,33-Tetrakishomohopane-22S",,1.461,U,,,,,,
"30,31,32,33-Tetrakishomohopane-22R",,1.461,U,,,,,,
"30,31,32,33,34-Pentakishomohopane-22S",,1.461,U,,,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,1.461,U,,,,,,
Priority Pollutant PAH,,12.505,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,79,,,,,,,
Acenaphthene-d10,,88,,,,,,,
Phenanthrene-d10,,97,,,,,,,
Benzo(a)pyrene-d12,,91,,,,,,,
5b(H)-Cholane,,86,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
