Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,15.75,,17.08,,11.36,,22.17,,12.41,,12.81,,14.51,,15.66,,12.57,,14.19,,12.94,,8.01,,12.20,,12.46,,21.86,,19.18,,22.85,,14.47,,10.17,,11.01,,14.70,,19.35,,23.70,,16.79,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Hexatriacontane,,0.007,J,0.006,J,0.01,J,0.003,U,0.006,J,0.005,J,0.006,J,0.005,J,0.008,J,0.007,J,0.005,J,0.013,J,0.01,J,0.009,J,0.003,U,0.01,J,0.003,U,0.007,J,0.012,J,0.013,J,0.006,J,0.01,J,0.003,U,0.006,J
n-Heptatriacontane,,0.006,J,0.006,J,0.009,J,0.007,U,0.007,J,0.006,J,0.007,J,0.005,J,0.009,J,0.007,J,0.006,J,0.012,J,0.011,J,0.011,J,0.007,U,0.01,J,0.006,U,0.01,J,0.013,J,0.013,J,0.007,J,0.01,J,0.006,U,0.006,J
n-Octatriacontane,,0.005,J,0.006,J,0.01,J,0.004,U,0.007,J,0.005,J,0.006,J,0.005,J,0.009,J,0.006,J,0.004,J,0.014,J,0.01,J,0.011,J,0.004,U,0.01,J,0.004,U,0.007,J,0.015,J,0.012,J,0.008,J,0.012,J,0.004,U,0.006,J
n-Nonatriacontane,,0.004,J,0.004,J,0.007,J,0.007,U,0.005,J,0.004,J,0.004,J,0.003,J,0.006,J,0.005,J,0.003,J,0.008,J,0.009,J,0.007,J,0.007,U,0.007,J,0.007,U,0.004,J,0.008,J,0.009,J,0.005,J,0.008,J,0.006,U,0.004,J
n-Tetracontane,,0.003,J,0.003,J,0.005,J,0.007,U,0.004,J,0.003,J,0.003,J,0.002,J,0.005,J,0.004,J,0.002,J,0.007,J,0.007,J,0.006,J,0.008,U,0.006,J,0.007,U,0.003,J,0.007,J,0.007,J,0.003,J,0.007,J,0.007,U,0.004,J
Sum SHC (C9-C40),,1.847,,2.415,,4.483,,0.732,,3.342,,3.169,,2.225,,1.996,,3.464,,2.488,,3.423,,6.412,,4.203,,3.928,,0.868,,6.585,,0.545,,2.845,,7.025,,7.952,,3.449,,5.921,,0.197,,4.707,
SHC Total (C9-C40),,4.728,,5.373,,6.53,,0.523,U,6.41,,5.021,,3.716,,1.743,,4.391,,4.177,,2.843,,6.226,,9.247,,4.121,,0.531,U,8.865,,1.623,,4.477,,8.121,,10.329,,6.792,,9.482,,0.614,,3.664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
