n-Pentatriacontane,,0.008,J,0.002,J,0.029,J,0.019,J,0.023,J,0.001,J,0.01,J,0.019,J,0.018,J,0.021,J,0.024,J,0.019,J,0.019,J,0.01,J,0.017,J,0.016,J,0.016,J,0.006,J,0.011,J,0.019,J,0.02,J
n-Hexatriacontane,,0.003,J,0.003,U,0.009,J,0.006,J,0.006,J,0.003,U,0.004,J,0.009,J,0.008,J,0.007,J,0.009,J,0.007,J,0.005,J,0.003,J,0.007,J,0.007,J,0.005,J,0.002,J,0.003,J,0.009,J,0.006,J
n-Heptatriacontane,,0.003,J,0.006,U,0.009,J,0.006,J,0.007,J,0.006,U,0.003,J,0.007,J,0.007,J,0.008,J,0.008,J,0.008,J,0.005,J,0.003,J,0.007,J,0.007,J,0.005,J,0.002,J,0.004,J,0.006,J,0.007,J
n-Octatriacontane,,0.003,J,0.004,U,0.01,J,0.006,J,0.007,J,0.004,U,0.004,J,0.006,J,0.006,J,0.007,J,0.007,J,0.007,J,0.006,J,0.003,J,0.007,J,0.005,J,0.005,J,0.002,J,0.003,J,0.007,J,0.006,J
n-Nonatriacontane,,0.003,J,0.007,U,0.008,J,0.005,J,0.005,J,0.007,U,0.003,J,0.006,J,0.005,J,0.006,J,0.006,J,0.005,J,0.004,J,0.002,J,0.005,J,0.004,J,0.004,J,0.001,J,0.003,J,0.005,J,0.005,J
n-Tetracontane,,0.002,J,0.007,U,0.007,J,0.005,J,0.005,J,0.007,U,0.002,J,0.005,J,0.005,J,0.006,J,0.006,J,0.004,J,0.004,J,0.002,J,0.005,J,0.004,J,0.003,J,0.001,J,0.002,J,0.004,J,0.004,J
Sum SHC (C9-C40),,1.525,,0.359,,5.187,,3.909,,3.666,,0.278,,2.083,,2.745,,2.63,,3.001,,3.316,,2.857,,2.496,,1.538,,2.128,,2.314,,2.264,,1.008,,1.676,,3.661,,2.545,
SHC Total (C9-C40),,3.116,,0.494,U,9.222,,4.943,,5.309,,0.502,U,0.648,U,12.133,,10.891,,11.211,,13.699,,6.727,,5.667,,0.659,U,4.478,,8.746,,5.542,,1.1,,2.561,,12.561,,8.227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Tetracosane-d50,,69,,59,,64,,36,N,68,,73,,72,,74,,76,,79,,73,,78,,72,,50,,73,,65,,72,,71,,77,,77,,78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
