Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,6.95,,7.71,,21.38,,12.57,,23.99,,18.35,,16.70,,18.36,,20.53,,7.08,,7.54,,10.14,,10.01,,9.87,,7.72,,10.46,,10.27,,15.67,,16.25,,15.21,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthracene,,1.006,J,1.650,,0.120,J,1.668,,0.184,J,0.827,,0.563,J,0.533,J,0.670,,1.591,T,1.831,T,1.913,T,2.141,T,1.734,T,1.608,T,2.031,T,1.770,T,1.609,T,1.556,T,1.443,T
Phenanthrene,,73.468,,75.151,,6.238,,64.533,,3.874,,26.132,,32.136,,23.503,,26.632,,71.714,T,72.062,T,73.960,T,69.759,T,71.137,T,67.029,T,65.503,T,63.488,T,61.148,T,55.252,T,53.116,T
C1-Phenanthrenes/Anthracenes,,115.400,,120.935,,10.103,,106.315,,6.382,,40.980,,50.598,,36.772,,44.642,,116.092,T,114.759,T,119.304,T,113.065,T,114.158,T,107.463,T,108.288,T,104.652,T,99.368,T,94.083,T,88.193,T
C2-Phenanthrenes/Anthracenes,,87.851,,96.290,,8.766,,86.563,,6.233,,34.446,,41.829,,31.145,,38.732,,90.563,T,91.134,T,95.474,T,88.655,T,90.847,T,84.046,T,86.882,T,84.111,T,80.394,T,77.188,T,71.951,T
C3-Phenanthrenes/Anthracenes,,61.022,,63.713,,5.119,,54.779,,4.249,,21.693,,26.127,,0.614,,27.407,,57.512,T,58.031,T,58.613,T,58.357,T,58.478,T,55.527,T,58.528,T,55.450,T,52.724,T,53.319,T,47.293,T
C4-Phenanthrenes/Anthracenes,,34.848,,37.480,,3.044,,34.230,,2.805,,11.817,,15.905,,10.929,,13.763,,41.576,T,39.957,T,43.502,T,40.746,T,40.675,T,38.812,T,39.468,T,40.707,T,40.199,T,40.511,T,35.324,T
Retene,,59.257,,71.134,,4.837,,67.499,,5.066,,23.813,,28.526,,21.521,,14.556,,90.874,T,91.106,T,100.016,T,96.035,T,96.207,T,89.248,T,89.485,T,91.929,T,91.478,T,92.769,T,84.241,T
Dibenzothiophene,,9.616,,11.269,,0.922,,10.725,,0.630,,3.508,,4.308,,2.803,,3.865,,10.428,T,10.468,T,10.754,T,10.289,T,10.463,T,9.541,T,9.697,T,8.737,T,4.929,T,7.099,T,6.605,T
C1-Dibenzothiophenes,,21.234,,24.135,,1.615,,22.815,,1.302,,7.102,,8.642,,5.561,,8.361,,23.564,T,23.189,T,23.844,T,21.615,T,22.287,T,21.146,T,21.014,T,20.083,T,11.290,T,16.087,T,15.433,T
C2-Dibenzothiophenes,,22.988,,28.299,,2.622,,26.927,,2.221,,8.083,,10.181,,6.513,,9.794,,26.547,T,25.801,T,25.959,T,24.278,T,25.141,T,22.190,T,23.841,T,21.578,T,11.370,T,18.164,T,17.632,T
C3-Dibenzothiophenes,,17.245,,19.199,,1.842,,18.455,,2.028,,5.891,,7.332,,4.971,,7.745,,18.448,T,17.926,T,17.352,T,16.334,T,16.984,T,15.684,T,16.260,T,15.188,T,7.399,T,12.116,T,11.867,T
C4-Dibenzothiophenes,,7.656,,8.113,,0.853,,7.923,,0.886,,2.663,,3.235,,1.936,,3.790,,7.427,T,7.190,T,7.166,T,7.259,T,7.252,T,6.806,T,6.702,T,6.280,T,2.885,T,5.332,T,4.859,T
Fluoranthene,,13.344,,15.523,,1.087,,12.618,,0.940,,4.742,,5.785,,3.796,,7.097,,14.522,T,15.156,T,16.094,T,15.700,T,15.358,T,14.971,T,15.113,T,15.306,T,15.664,T,15.130,T,14.055,T
Pyrene,,21.310,,21.845,,1.686,,19.117,,1.765,,7.812,,9.203,,6.098,,14.070,,19.794,T,20.298,T,21.217,T,20.520,T,20.357,T,19.932,T,19.983,T,19.479,T,19.311,T,19.066,T,17.766,T
C1-Fluoranthenes/Pyrenes,,47.767,,52.661,,3.940,,46.169,,3.603,,17.429,,21.199,,15.358,,24.885,,52.380,T,53.901,T,55.988,T,53.792,T,53.696,T,50.479,T,52.152,T,54.355,T,52.743,T,53.036,T,48.564,T
C2-Fluoranthenes/Pyrenes,,45.409,,47.893,,3.705,,41.738,,3.481,,15.398,,17.783,,13.885,,23.453,,47.323,T,46.779,T,50.097,T,45.979,T,48.458,T,46.872,T,43.464,T,48.370,T,44.883,T,47.338,T,41.780,T
C3-Fluoranthenes/Pyrenes,,33.322,,35.315,,2.781,,32.127,,2.944,,12.028,,14.711,,11.325,,19.618,,33.849,T,34.404,T,36.221,T,33.053,T,33.711,T,30.555,T,32.506,T,31.945,T,31.707,T,32.355,T,30.269,T
Benzo(a)anthracene,,4.920,,4.821,,0.304,J,3.697,,0.497,,1.481,,1.734,,1.191,,2.365,,4.441,T,4.639,T,4.545,T,4.666,T,4.948,T,4.503,T,4.372,T,4.616,T,5.192,T,4.894,T,4.351,T
Chrysene,,32.613,,32.645,,2.745,,28.776,,2.691,,12.011,,13.723,,9.740,,14.552,,29.169,T,28.780,T,30.160,T,28.258,T,29.145,T,27.518,T,25.970,T,25.826,T,25.729,T,24.660,T,21.524,T
C1-Chrysenes,,34.893,,34.305,,3.136,,30.392,,3.596,,12.697,,15.285,,10.648,,17.568,,30.843,T,30.617,T,32.221,T,31.340,T,31.056,T,29.898,T,29.507,T,29.904,T,29.374,T,29.446,T,25.657,T
C2-Chrysenes,,30.535,,31.001,,2.963,,26.028,,2.992,,11.666,,13.658,,10.152,,17.817,,27.738,T,26.486,T,27.662,T,27.414,T,27.499,T,27.294,T,26.312,T,26.404,T,25.070,T,26.909,T,21.327,T
C3-Chrysenes,,18.675,,16.698,,1.900,,14.594,,2.071,,6.577,,7.858,,5.627,,10.928,,15.913,T,16.938,T,16.314,T,14.940,T,16.844,T,15.151,T,14.338,T,14.651,T,14.206,T,14.943,T,12.872,T
