Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,21.25,,23.46,,11.72,,21.75,,17.17,,23.10,,17.91,,15.61,,16.11,,16.82,,18.56,,14.06,,15.41,,17.60,,16.36,,16.53,,17.00,,20.30,,18.05,,15.01,,16.11,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14a(H),17a(H)-20S-methylcholestane",,0.402,J,0.081,U,1.345,,0.698,,0.975,,0.082,U,0.68,,1.412,,1.545,,2.07,,1.782,,1.875,,1.369,,0.793,,1,,1.422,,1.454,,0.617,,0.983,,1.705,,2.2,
"14b(H),17b(H)-20R-Methylcholestane",,0.242,J,0.081,U,1.007,,0.41,J,0.519,J,0.082,U,0.503,J,1.218,,1.21,,1.708,,1.387,,1.346,,0.931,,0.517,J,0.894,,1.163,,1.308,,0.501,,0.675,,1.318,,1.615,
"14b(H),17b(H)-20S-Methylcholestane",,0.272,J,0.081,U,0.901,,0.44,J,0.574,J,0.082,U,0.461,J,1.059,,1.122,,1.422,,1.312,,1.296,,0.933,,0.474,J,0.783,,1.272,,0.961,,0.423,J,0.777,,1.258,,1.417,
"14a(H),17a(H)-20R-methylcholestane ",,0.751,,0.151,J,2.944,,1.425,,1.795,,0.085,J,1.476,,3.974,,3.919,,4.757,,4.41,,4.502,,3.425,,1.939,,3.112,,4.305,,3.789,,1.631,,2.508,,4.698,,5.124,
"14a(H),17a(H)-20S-Ethylcholestane",,0.398,J,0.083,J,1.576,,0.677,,0.879,,0.082,U,0.553,J,1.772,,1.507,,1.654,,1.698,,1.663,,1.055,,0.671,,1.017,,1.74,,1.151,,0.464,J,0.712,,1.509,,1.893,
"14b(H),17b(H)-20R-Ethylcholestane",,0.519,,0.123,J,2.099,,1.058,,1.252,,0.082,J,0.833,,1.861,,2.058,,2.405,,2.449,,2.478,,1.857,,0.948,,1.598,,2.284,,1.966,,0.757,,1.021,,1.928,,2.708,
"14b(H),17b(H)-20S-Ethylcholestane",,0.588,,0.107,J,2.074,,1.115,,1.117,,0.076,J,0.889,,1.826,,2.006,,2.664,,2.092,,1.906,,1.693,,1.093,,1.762,,2.028,,1.763,,0.894,,1.133,,2.119,,2.693,
"14a(H),17a(H)-20R-Ethylcholestane",,1.855,,0.417,J,6.569,,3.605,,3.706,,0.209,J,2.661,,5.22,,5.926,,7.787,,6.765,,6.801,,5.26,,2.858,,4.547,,5.998,,5.691,,2.268,,3.843,,6.112,,7.272,
C23 Tricyclic Terpane,,0.319,J,0.049,J,1.528,J,0.724,J,0.822,J,0.229,U,0.793,J,1.841,J,1.901,,2.435,,2.144,,2.182,,1.689,J,1.088,J,1.602,J,2.005,,1.789,,0.851,J,1.105,J,2.178,,2.481,
C24 Tricyclic Terpane ,,0.208,J,0.225,U,0.878,J,0.47,J,0.559,J,0.229,U,0.462,J,1.148,J,1.228,J,1.437,J,1.295,J,1.282,J,1.038,J,0.654,J,0.977,J,1.198,J,1.119,J,0.505,J,0.689,J,1.265,J,1.547,J
C25 Tricyclic Terpane,,0.183,J,0.225,U,0.863,J,1.244,J,0.487,J,0.229,U,0.719,J,0.766,J,0.736,J,1.681,J,1.459,J,1.182,J,1.043,J,0.631,J,0.813,J,1.12,J,1.095,J,0.503,J,0.628,J,1.056,J,1.58,J
C24 Tetracyclic Terpane,,0.178,J,0.225,U,0.723,J,0.43,J,0.353,J,0.229,U,0.314,J,0.591,J,0.67,J,0.761,J,0.684,J,0.688,J,0.54,J,0.326,J,0.499,J,0.669,J,0.611,J,0.305,J,0.398,J,0.704,J,0.769,J
C26 Tricyclic Terpane-22S,,0.113,J,0.225,U,0.375,J,0.299,J,0.249,J,0.229,U,0.251,J,0.467,J,0.555,J,0.689,J,0.597,J,0.561,J,0.439,J,0.324,J,0.417,J,0.534,J,0.464,J,0.219,J,0.264,J,0.583,J,0.698,J
C26 Tricyclic Terpane-22R,,0.122,J,0.225,U,0.396,J,0.256,J,0.227,J,0.229,U,0.176,J,0.494,J,0.531,J,0.66,J,0.57,J,0.57,J,0.461,J,0.25,J,0.41,J,0.559,J,0.505,J,0.258,J,0.243,J,0.641,J,0.713,J
C28 Tricyclic Terpane-22S,,0.098,J,0.225,U,0.412,J,0.243,U,0.219,J,0.229,U,0.246,J,0.539,J,0.46,J,0.585,J,0.6,J,0.469,J,0.426,J,0.287,J,0.302,J,0.447,J,0.353,J,0.241,J,0.24,J,0.596,J,0.597,J
C28 Tricyclic Terpane-22R,,0.125,J,0.225,U,0.442,J,0.255,J,0.366,J,0.229,U,0.351,J,0.611,J,0.606,J,0.737,J,0.76,J,0.598,J,0.485,J,0.248,J,0.359,J,0.594,J,0.479,J,0.187,J,0.291,J,0.734,J,0.664,J
