Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,15.75,,17.08,,11.36,,22.17,,12.41,,12.81,,14.51,,15.66,,12.57,,14.19,,12.94,,8.01,,12.20,,12.46,,21.86,,19.18,,22.85,,14.47,,10.17,,11.01,,14.70,,19.35,,23.70,,16.79,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1-Chrysenes,,10.795,,12.047,,16.198,,1.719,,14.884,,11.785,,14.289,,12.593,,21.289,,15.865,,18.086,,33.03,,27.56,,28.134,,3.442,,25.974,,3.07,,16.753,,28.748,,28.806,,20.109,,28.804,,0.502,,12.33,
C2-Chrysenes,,9.407,,10.266,,13.25,,1.532,,13.231,,10.174,,11.779,,11.048,,19.658,,12.647,,13.86,,27.314,,21.38,,21.557,,2.747,,20.41,,2.516,,13.665,,21.965,,21.774,,15.807,,22.872,,0.117,U,9.436,
C3-Chrysenes,,4.953,,6.311,,7.096,,0.125,U,6.261,,5.202,,6.599,,6.409,,11.072,,7.852,,8.112,,16.228,,12.9,,13.715,,0.127,U,11.373,,1.565,,6.704,,12.392,,12.076,,8.429,,11.393,,0.117,U,4.546,
C4-Chrysenes,,0.176,U,0.162,U,0.244,U,0.125,U,0.223,U,0.216,U,0.191,U,0.177,U,0.22,U,0.195,U,0.214,U,0.346,U,0.227,U,0.222,U,0.127,U,0.144,U,0.121,U,0.191,U,0.272,U,0.252,U,0.188,U,0.143,U,0.117,U,0.165,U
Benzo(b)fluoranthene,,6.132,,7.244,,10.609,,0.94,,9.04,,6.736,,8.969,,7.951,,12.995,,9.33,,12.198,,19.919,,15.936,,16.766,,1.863,,15.358,,1.636,,10.563,,18.289,,17.444,,13.473,,17.829,,0.328,J,6.337,
Benzo(k)fluoranthene,,1.519,,1.939,,2.341,,0.212,J,2.201,,2.015,,2.736,,1.89,,3.557,,3.51,,3.527,,5.676,,5.522,,4.651,,0.488,J,3.031,,0.4,J,3.165,,4.403,,3.783,,2.313,,3.028,,0.07,U,1.748,
Benzo(e)pyrene,,7.845,,8.926,,13.703,,1.219,,11.21,,8.95,,12.703,,10.111,,16.518,,11.772,,14.02,,22.352,,21.979,,21.584,,2.222,,16.696,,1.973,,12.504,,19.348,,18.197,,14.76,,19.073,,0.346,J,7.794,
Benzo(a)pyrene,,1.748,,2.047,,2.53,,0.208,J,2.434,,1.974,,2.199,,2.014,,3.559,,2.707,,2.161,,5.5,,4.586,,3.543,,0.444,J,4.151,,0.15,U,2.161,,4.832,,3.948,,2.525,,3.427,,0.144,U,1.551,
Perylene,,27.987,,41.367,,62.399,,6.293,,55.663,,44.908,,33.428,,32.528,,61.83,,35.566,,43.331,,79.86,,61.914,,62.225,,8.042,,70.632,,4.891,,36.864,,66.459,,68.28,,45.48,,77.328,,1.298,,44.466,
"Indeno(1,2,3-cd)pyrene",,1.25,,1.467,,2.044,,0.173,U,1.408,,1.155,,1.812,,1.528,,2.949,,2.779,,2.571,,5.601,,4.539,,4.599,,0.336,J,3.197,,0.362,J,2.533,,3.336,,3.81,,2.143,,2.714,,0.162,U,0.819,
"Dibenz(a,h)anthracene",,0.661,,0.926,,1.186,,0.107,U,0.894,,0.685,J,0.994,,0.83,,1.677,,0.945,,1.288,,2.403,,1.92,,1.819,,0.108,U,1.609,,0.104,U,1.163,,1.76,,1.925,,1.461,,1.792,,0.1,U,0.484,J
"Benzo(g,h,i)perylene",,7.392,,8.639,,12.431,,0.861,,9.979,,8.309,,10.823,,9.005,,15.505,,10.514,,10.409,,18.87,,18.112,,17.735,,1.488,,13.16,,1.066,,10.055,,15.241,,14.529,,11.569,,14.768,,0.188,J,5.419,
Total PAH,,368.801,,435.504,,606.893,,65.746,,548.271,,463.691,,525.478,,463.276,,777.279,,595.075,,730.153,,1298.037,,1032.554,,1025.626,,151,,1056.683,,102.547,,645.728,,1187.589,,1221.004,,791.45,,1119.147,,22.62,,539.733,
"14a(H),17a(H)-20R-Cholestane",,5.438,,5.604,,8.009,,0.7,,7.641,,5.511,,6.102,,5.485,,8.951,,6.109,,4.014,,8.115,,8.06,,8.141,,0.456,J,4.455,,0.416,J,3.751,,5,,4.706,,4.277,,5.645,,0.136,J,2.795,
"13b(H),17a(H)-20S-Diacholestane ",,1.942,,1.903,,2.689,,0.263,J,2.386,,2.012,,2.177,,1.851,,2.907,,1.955,,1.351,,2.619,,2.615,,2.633,,0.187,J,1.408,,0.18,J,1.307,,1.672,,1.392,,1.393,,1.791,,0.049,J,0.962,
"13b(H),17a(H)-20R-Diacholestane",,1.23,,1.102,,1.65,,0.169,J,1.484,,1.048,,1.274,,1.017,,1.729,,1.216,,0.713,J,1.434,,1.622,,1.499,,0.08,J,0.867,,0.103,J,0.878,,0.885,J,0.913,,0.897,,1.01,,0.08,U,0.564,J
"13b(H),17a(H)-20S-Methyldiacholestane",,1.017,,1.106,,1.574,,0.209,J,1.412,,1.043,,1.248,,1.012,,1.72,,1.077,,0.925,,1.503,,1.556,,1.526,,0.102,J,1.087,,0.103,J,0.741,,1.006,,0.954,,0.944,,1.132,,0.08,U,0.666,
"14a(H),17a(H)-20S-Cholestane",,3.784,,3.853,,5.203,,0.467,,4.873,,3.64,,4.061,,3.675,,5.761,,4.066,,2.935,,5.534,,5.609,,5.662,,0.36,J,3.278,,0.317,J,2.583,,3.585,,3.732,,3.17,,4.028,,0.112,J,2.043,
"14b(H),17b(H)-20R-Cholestane",,1.071,,0.978,,1.375,,0.158,J,1.298,,1.014,,1.243,,1.01,,1.599,,1.055,,0.658,J,1.356,,1.541,,1.519,,0.1,J,0.811,,0.11,J,0.699,,0.84,J,0.89,J,0.904,,1.063,,0.08,U,0.524,J
"14b(H),17b(H)-20S-Cholestane",,0.958,,1.043,,1.436,,0.163,J,1.388,,1.024,,1.128,,1.031,,1.478,,1.047,,0.749,J,1.203,J,1.612,,1.542,,0.095,J,0.755,,0.107,J,0.704,,0.763,J,0.92,,0.878,,0.999,,0.08,U,0.563,J
"14a(H),17a(H)-20S-methylcholestane",,1.374,,1.461,,1.746,,0.15,J,1.823,,1.273,,1.44,,1.205,,1.996,,1.176,,1.082,,2.007,,2.013,,1.826,,0.128,J,1.552,,0.112,J,0.991,,1.398,,1.473,,1.287,,1.625,,0.08,U,0.953,
"14b(H),17b(H)-20R-Methylcholestane",,1.103,,1.104,,1.38,,0.138,J,1.352,,0.979,,1.304,,0.913,,1.479,,1.035,,0.777,,1.42,,1.627,,1.537,,0.087,J,0.835,,0.144,J,0.582,J,0.812,J,0.847,J,0.914,,1.015,,0.08,U,0.492,J
"14b(H),17b(H)-20S-Methylcholestane",,1.037,,0.985,,1.295,,0.11,J,1.113,,0.868,,1.132,,0.845,,1.528,,1.059,,0.58,J,1.299,,1.346,,1.602,,0.099,J,0.809,,0.101,J,0.602,J,0.842,J,0.886,J,0.769,,0.934,,0.08,U,0.515,J
"14a(H),17a(H)-20R-methylcholestane ",,3.574,,3.529,,4.909,,0.478,,4.746,,3.262,,3.584,,3.112,,5.018,,3.403,,2.34,,5.002,,4.342,,4.549,,0.3,J,2.712,,0.275,J,2.266,,3.058,,3.286,,2.602,,3.508,,0.081,J,1.759,
