Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,PEAT,,PEAT,
Sample Size,,20.90,,22.70,,19.87,,16.13,,18.72,,22.67,,13.09,,13.91,,13.82,,18.97,,21.01,,15.41,,12.79,,18.93,,21.30,,13.51,,16.04,,5.99,,7.54,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Nonatriacontane,,0.002,J,0.002,J,0.002,J,0.006,J,0.002,J,0.002,J,0.006,J,0.009,J,0.004,J,0.003,J,0.002,J,0.005,J,0.006,J,0.002,J,0.001,J,0.007,J,0.004,J,0.004,J,0.004,J
n-Tetracontane,,0.003,J,0.002,J,0.002,J,0.006,J,0.003,J,0.002,J,0.007,J,0.008,J,0.004,J,0.003,J,0.002,J,0.005,J,0.006,J,0.001,J,0.001,J,0.007,J,0.003,J,0.005,J,0.005,J
Sum SHC (C9-C40),,2.765,,2.113,,2.279,,4.773,,2.964,,1.309,,4.765,,4.623,,2.364,,1.921,,1.328,,3.504,,5.069,,1.707,,1.191,,6.459,,3.654,,15.626,,4.129,
SHC Total (C9-C40),,5.500,,2.894,,3.122,,11.890,,5.207,,3.438,,17.124,,16.655,,7.438,,5.605,,2.734,,7.893,,12.301,,2.531,,1.927,,12.703,,6.388,,14.712,,7.731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Tetracosane-d50,,80,,81,,72,,78,,73,,77,,71,,76,,76,,75,,74,,63,,71,,77,,82,,81,,76,,85,,55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
