,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,Procedural Blank,,,
,,,,,,,,,
Battelle ID,,CD639PB-P,,CD640PB-P,,CD808PB-P,,,
Sample Type,,PB,,PB,,PB,,,
Collection Date,,10/27/14,,10/27/2014,,11/3/2014,,,
Extraction Date,,10/27/14,,10/27/2014,,11/3/2014,,,
Analysis Date,,11/09/14,,11/9/2014,,11/9/2014,,,
Analytical Instrument,,MS,,MS,,MS,,,
% Moisture,,49.69, ,49.69,,49.7,,,
% Lipid,,NA,,NA,,NA,,,
Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,,
Sample Size,,15.08,,15.12,,15.11,,,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,,
,,,,,,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,0.351,U,0.35,U,0.35,U,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,0.351,U,0.35,U,0.35,U,,
"17a(H),21b(H)-28,30-Bisnorhopane",,0.351,U,0.35,U,0.35,U,,
"17a(H),21b(H)-25-Norhopane",,0.351,U,0.35,U,0.35,U,,
30-Norhopane,,0.351,U,0.35,U,0.35,U,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,0.351,U,0.35,U,0.35,U,,
17a(H)-Diahopane,,0.351,U,0.35,U,0.35,U,,
30-Normoretane,,0.351,U,0.35,U,0.35,U,,
18a(H) & 18b(H)-Oleananes,,0.351,U,0.35,U,0.35,U,,
"17a(H),21b(H)-hopane",,0.351,U,0.35,U,0.35,U,,
"17b(H),21a(H)-hopane (moretane)",,0.351,U,0.35,U,0.35,U,,
30-Homohopane-22S,,0.351,U,0.35,U,0.35,U,,
30-Homohopane-22R,,0.351,U,0.35,U,0.35,U,,
"30,31-Bishomohopane-22S",,0.351,U,0.35,U,0.35,U,,
"30,31-Bishomohopane-22R",,0.351,U,0.35,U,0.35,U,,
"30,31,32-Trishomohopane-22S",,0.351,U,0.35,U,0.35,U,,
"30,31,32-Trishomohopane-22R",,0.351,U,0.35,U,0.35,U,,
"30,31,32,33-Tetrakishomohopane-22S",,0.351,U,0.35,U,0.35,U,,
"30,31,32,33-Tetrakishomohopane-22R",,0.351,U,0.35,U,0.35,U,,
"30,31,32,33,34-Pentakishomohopane-22S",,0.351,U,0.35,U,0.35,U,,
"30,31,32,33,34-Pentakishomohopane-22R",,0.351,U,0.35,U,0.35,U,,
Priority Pollutant PAH,,0.23,,0.211,,0.228,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,54,,62,,65,,,
Acenaphthene-d10,,59,,67,,71,,,
Phenanthrene-d10,,64,,74,,74,,,
Benzo(a)pyrene-d12,,62,,73,,71,,,
5b(H)-Cholane,,75,,87,,110,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
