,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-501,,PAL-507,,PAL-512,,PAL-516,,PAL-526,,PAL-527,,PAL-531,,PAL-533,,PAL-534A,,PAL-535,,PAL-539,,PAL-301,,PAL-303,,PAL-316,,PAL-318,,PAL-320,,PAL-321,,PAL-341,,PAL-240,,PAL-241,
C2-Dibenzothiophenes,,0.809,J,0.743,J,0.48,J,0.627,J,0.745,J,0.925,J,0.461,J,0.404,J,0.363,J,4.574,U,0.797,J,3.264,J,1.462,J,0.676,J,0.577,J,0.599,J,0.628,J,7.012,J,0.407,J,0.547,J
C3-Dibenzothiophenes,,0.689,J,0.76,J,4.866,U,6.93,U,0.612,J,0.665,J,3.049,U,0.31,J,2.989,U,4.574,U,0.43,J,2.848,J,1.193,J,0.767,J,0.612,J,0.635,J,0.671,J,6.424,J,0.449,J,0.476,J
C4-Dibenzothiophenes,,4.484,U,5.082,U,4.866,U,6.93,U,4.667,U,6.018,U,3.049,U,4.196,U,2.989,U,4.574,U,2.823,U,11.728,U,0.911,J,0.705,J,0.712,J,0.714,J,0.591,J,65.339,U,0.376,J,3.943,U
Fluoranthene,,1.482,J,1.106,J,0.702,J,0.972,J,1.062,J,1.288,J,0.622,J,0.774,J,0.625,J,0.918,J,1.925,,5.403,J,1.391,J,0.723,J,0.516,J,0.537,J,0.526,J,7.711,J,0.63,J,0.824,J
Pyrene,,1.954,J,1.501,J,0.867,J,1.307,J,1.384,J,1.88,J,0.777,J,0.938,J,0.804,J,1.205,J,2.806,,7.633,,1.897,,0.869,J,0.673,J,0.667,J,0.669,J,11.296,J,0.587,J,0.888,J
C1-Fluoranthenes/Pyrenes,,1.618,J,0.868,J,0.547,J,0.917,J,0.843,J,0.92,J,0.539,J,0.55,J,0.488,J,0.909,J,2.296,,7.398,,2.772,,1.325,J,1.139,J,1.112,J,0.932,J,10.335,J,0.538,J,0.744,J
C2-Fluoranthenes/Pyrenes,,1.11,J,3.373,U,3.229,U,4.599,U,3.097,U,3.994,U,2.024,U,2.785,U,1.984,U,3.035,U,1.195,J,5.762,J,2.934,,1.622,,1.408,,1.382,J,1.014,J,8.739,J,0.645,J,2.617,U
C3-Fluoranthenes/Pyrenes,,2.976,U,3.373,U,3.229,U,4.599,U,3.097,U,3.994,U,2.024,U,2.785,U,1.984,U,3.035,U,1.874,U,7.783,U,2.197,,1.495,,1.594,,1.418,J,1.114,J,43.364,U,1.03,J,2.617,U
Benzo(a)anthracene,,0.398,J,0.228,J,0.138,J,0.16,J,0.214,J,0.316,J,0.117,J,0.126,J,0.131,J,0.268,J,0.764,J,2.131,J,0.242,J,0.126,J,0.108,J,0.138,J,0.144,J,1.167,J,0.139,J,0.167,J
Chrysene,,1.121,J,1.08,J,0.444,J,0.926,J,0.797,J,0.97,J,0.603,J,0.485,J,0.425,J,0.819,J,1.222,J,6.519,J,3.414,,2.215,,2.114,,2.053,,1.994,,10.887,J,0.859,J,0.859,J
C1-Chrysenes,,0.803,J,0.459,J,0.365,J,0.409,J,0.25,J,0.337,J,0.252,J,0.195,J,0.225,J,0.329,J,0.935,J,5.336,J,2.272,,1.498,,1.483,,1.326,J,1.137,J,7.268,J,1.052,J,0.595,J
C2-Chrysenes,,2.131,U,2.416,U,2.313,U,3.294,U,2.218,U,2.861,U,1.449,U,1.995,U,1.421,U,2.174,U,1.342,U,4.532,J,1.724,,1.503,,1.403,,1.773,,1.125,J,31.058,U,0.985,J,1.874,U
C3-Chrysenes,,2.131,U,2.416,U,2.313,U,3.294,U,2.218,U,2.861,U,1.449,U,1.995,U,1.421,U,2.174,U,1.342,U,5.575,U,1.43,U,0.555,U,0.556,U,0.63,U,0.695,U,31.058,U,1.163,U,1.874,U
C4-Chrysenes,,2.131,U,2.416,U,2.313,U,3.294,U,2.218,U,2.861,U,1.449,U,1.995,U,1.421,U,2.174,U,1.342,U,5.575,U,1.43,U,0.555,U,0.556,U,0.63,U,0.695,U,31.058,U,1.163,U,1.874,U
Benzo(b)fluoranthene,,0.611,J,0.295,J,2.749,U,3.916,U,2.637,U,3.4,U,1.723,U,2.371,U,1.689,U,2.584,U,0.453,J,2.599,J,1.578,J,1.019,J,0.896,J,0.848,J,0.642,J,36.918,U,1.057,J,0.397,J
Benzo(k)fluoranthene,,0.395,J,0.278,J,2.531,U,3.605,U,2.428,U,3.13,U,1.586,U,2.183,U,1.555,U,2.379,U,0.474,J,1.495,J,0.525,J,0.281,J,0.263,J,0.32,J,0.76,U,33.988,U,0.161,J,2.051,U
Benzo(e)pyrene,,0.579,J,0.27,J,2.444,U,3.48,U,2.344,U,3.023,U,0.156,J,2.107,U,1.501,U,2.297,U,0.483,J,2.432,J,2.336,,1.394,,1.241,J,1.194,J,0.915,J,4.257,J,0.137,J,0.231,J
Benzo(a)pyrene,,0.337,J,1.866,U,1.787,U,2.545,U,1.714,U,2.21,U,1.12,U,1.541,U,1.098,U,1.68,U,0.658,J,1.578,J,0.365,J,0.193,J,0.169,J,0.161,J,0.537,U,23.997,U,0.898,U,1.448,U
Perylene,,2.106,J,0.413,J,2.335,U,3.325,U,0.399,J,2.888,U,1.463,U,2.013,U,1.434,U,0.51,J,0.944,J,10.077,,6.262,,3.544,,3.953,,3.453,,2.521,,14.063,J,0.35,J,1.039,J
"Indeno(1,2,3-cd)pyrene",,1.902,U,2.156,U,2.064,U,2.94,U,1.98,U,2.553,U,1.293,U,1.78,U,1.268,U,1.94,U,0.192,J,0.777,J,0.224,J,0.157,J,0.092,J,0.15,J,0.62,U,27.718,U,1.038,U,1.673,U
"Dibenz(a,h)anthracene",,0.979,U,1.11,U,1.063,U,1.513,U,1.019,U,1.314,U,0.666,U,0.916,U,0.653,U,0.999,U,0.617,U,2.561,U,0.179,J,0.255,U,0.061,J,0.29,U,0.319,U,14.269,U,0.534,U,0.861,U
"Benzo(g,h,i)perylene",,0.488,J,1.654,U,1.584,U,2.256,U,1.519,U,1.959,U,0.993,U,1.366,U,0.973,U,1.489,U,0.321,J,1.627,J,1.01,J,0.723,J,0.584,J,0.648,J,0.365,J,21.272,U,0.104,J,0.163,J
Total PAH,,112.311,,93.073,,76.052,,104.449,,108.419,,131.166,,67.067,,73.586,,63.867,,101.5,,105.9,,366.362,,116.629,,58.656,,55.634,,62.317,,66.324,,1933.595,,103.063,,109.097,
"14a(H),17a(H)-20R-Cholestane",,0.973,J,0.588,J,0.54,J,0.477,J,0.739,J,0.59,J,0.402,J,0.479,J,0.333,J,1.297,J,0.26,J,1.105,J,0.501,J,0.531,J,0.538,J,0.563,J,0.302,J,23.158,U,5.479,,0.705,J
"13b(H),17a(H)-20S-Diacholestane ",,0.356,J,1.801,U,0.418,J,0.627,J,0.369,J,2.133,U,0.205,J,0.307,J,1.06,U,0.472,J,1.001,U,0.666,J,0.427,J,0.357,J,0.264,J,0.284,J,0.186,J,23.158,U,1.027,J,0.568,J
"13b(H),17a(H)-20R-Diacholestane",,0.312,J,1.801,U,0.218,J,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,0.242,J,0.178,J,0.152,J,0.47,U,0.122,J,23.158,U,0.867,U,0.299,J
"13b(H),17a(H)-20S-Methyldiacholestane",,1.589,U,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,0.192,J,0.178,J,0.112,J,0.47,U,0.119,J,23.158,U,0.867,U,0.253,J
"14a(H),17a(H)-20S-Cholestane",,0.698,J,1.801,U,1.725,U,2.456,U,0.467,J,2.133,U,0.276,J,0.435,J,1.06,U,0.749,J,1.001,U,0.964,J,0.503,J,0.49,J,0.376,J,0.436,J,0.238,J,23.158,U,0.867,U,0.54,J
"14b(H),17b(H)-20R-Cholestane",,0.277,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,0.14,J,0.156,J,0.132,J,0.119,J,0.518,U,23.158,U,0.867,U,0.342,J
"14b(H),17b(H)-20S-Cholestane",,0.354,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,0.16,J,0.188,J,0.168,J,0.145,J,0.518,U,23.158,U,2.218,,0.333,J
"14a(H),17a(H)-20S-methylcholestane",,1.589,U,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,1.067,U,0.414,U,0.415,U,0.47,U,0.518,U,23.158,U,0.867,U,1.397,U
"14b(H),17b(H)-20R-Methylcholestane",,0.235,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,1.067,U,0.414,U,0.415,U,0.47,U,0.518,U,23.158,U,0.867,U,1.397,U
"14b(H),17b(H)-20S-Methylcholestane",,0.215,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,1.067,U,0.414,U,0.415,U,0.47,U,0.518,U,23.158,U,2.326,,1.397,U
"14a(H),17a(H)-20R-methylcholestane ",,0.286,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,1.067,U,0.253,J,0.288,J,0.184,J,0.518,U,23.158,U,2.006,,0.409,J
"14a(H),17a(H)-20S-Ethylcholestane",,0.239,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,1.487,U,1.06,U,1.621,U,1.001,U,4.157,U,1.067,U,0.414,U,0.415,U,0.47,U,0.518,U,23.158,U,0.457,J,1.397,U
"14b(H),17b(H)-20R-Ethylcholestane",,0.336,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,0.374,J,1.06,U,1.621,U,1.001,U,4.157,U,0.322,J,0.233,J,0.171,J,0.47,U,0.518,U,23.158,U,0.997,J,0.378,J
"14b(H),17b(H)-20S-Ethylcholestane",,0.428,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,0.219,J,1.06,U,1.621,U,1.001,U,4.157,U,0.294,J,0.253,J,0.171,J,0.47,U,0.518,U,23.158,U,0.54,J,0.363,J
"14a(H),17a(H)-20R-Ethylcholestane",,0.45,J,1.801,U,1.725,U,2.456,U,1.654,U,2.133,U,1.081,U,0.445,J,1.06,U,0.875,J,1.001,U,0.76,J,0.494,J,0.403,J,0.345,J,0.341,J,0.154,J,23.158,U,0.668,J,0.571,J
C23 Tricyclic Terpane,,0.496,J,6.213,U,0.483,J,8.472,U,0.456,J,7.358,U,3.728,U,0.699,J,3.655,U,0.513,J,3.452,U,0.907,J,0.374,J,0.371,J,0.445,J,0.439,J,0.275,J,79.881,U,0.844,J,0.484,J
C24 Tricyclic Terpane ,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,0.412,J,3.655,U,5.592,U,3.452,U,14.338,U,0.179,J,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,0.233,J,0.416,J
C25 Tricyclic Terpane,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
C24 Tetracyclic Terpane,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
C26 Tricyclic Terpane-22S,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
C26 Tricyclic Terpane-22R,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
C28 Tricyclic Terpane-22S,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,12.997,,4.82,U
C28 Tricyclic Terpane-22R,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
C29 Tricyclic Terpane-22S,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,26.143,,4.82,U
C29 Tricyclic Terpane-22R,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,26.153,,4.82,U
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,0.652,J,0.477,J,0.412,J,1.621,U,1.786,U,79.881,U,15.389,,1.932,J
"17a(H),21b(H)-28,30-Bisnorhopane",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"17a(H),21b(H)-25-Norhopane",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
30-Norhopane,,1.36,J,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,1.099,J,0.533,J,0.935,J,1.161,J,1.786,U,79.881,U,5.172,,1.611,J
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,0.912,J,4.82,U
17a(H)-Diahopane,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.183,J,4.82,U
30-Normoretane,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,0.457,J,0.795,J,1.786,U,79.881,U,2.99,U,4.82,U
18a(H) & 18b(H)-Oleananes,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"17a(H),21b(H)-hopane",,1.34,J,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,2.505,J,1.356,J,1.028,J,0.923,J,1.362,J,1.786,U,79.881,U,1.64,J,1.493,J
"17b(H),21a(H)-hopane (moretane)",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,1.624,J,1.076,J,1.435,J,1.86,J,1.786,U,79.881,U,2.99,U,1.326,J
30-Homohopane-22S,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,1.208,J,0.648,J,1.43,U,1.621,U,1.786,U,79.881,U,0.702,J,4.82,U
30-Homohopane-22R,,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,0.784,J,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"30,31-Bishomohopane-22S",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
