,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,QAH-501,,QAH-502,,QAH-503,,QAH-504,,QAH-505,,QAH-506,,QAH-201,,QAH-202,,QAH-203,,QAH-204,,QAH-205,,QAH-206,,QAH-122,,QAH-301,,QAH-302,,QAH-302-REP,,QAH-303,,QAH-306,,QAH-304,,QAH-305,,QAH-307,
Anthracene,,1.958,U,4.570,U,1.296,U,2.605,U,1.277,U,1.929,U,1.034,U,2.742,U,0.579,U,0.603,U,0.566,U,0.563,U,1.357,U,1.108,U,1.002,U,0.983,U,1.888,U,1.973,U,5.542,U,1.189,U,1.550,U
Phenanthrene,,2.806,B,6.501,,4.673,U,4.309,,4.834,,4.823,,2.209,B,4.450,,1.731,B,1.950,B,1.363,B,1.776,B,3.820,,5.808,,2.374,B,4.969,,3.318,B,2.891,B,9.547,,3.665,,5.863,
C1-Phenanthrenes/Anthracenes,,7.063,U,16.480,U,4.673,U,9.394,U,4.605,U,6.958,U,3.728,U,9.888,U,2.087,U,2.174,U,2.042,U,2.029,U,4.892,U,5.500,,2.754,,3.652,,6.807,U,7.116,U,19.986,U,3.250,,5.591,U
C2-Phenanthrenes/Anthracenes,,7.063,U,16.480,U,4.673,U,9.394,U,4.605,U,6.958,U,3.728,U,9.888,U,2.087,U,2.174,U,2.042,U,2.029,U,4.892,U,5.257,,3.613,U,3.545,U,6.807,U,7.116,U,19.986,U,4.289,U,5.591,U
C3-Phenanthrenes/Anthracenes,,7.063,U,16.480,U,4.673,U,9.394,U,4.605,U,6.958,U,3.728,U,9.888,U,2.087,U,2.174,U,2.042,U,2.029,U,4.892,U,5.287,,3.613,U,3.545,U,6.807,U,7.116,U,19.986,U,4.289,U,5.591,U
C4-Phenanthrenes/Anthracenes,,7.063,U,16.480,U,4.673,U,9.394,U,4.605,U,6.958,U,3.728,U,9.888,U,2.087,U,2.174,U,2.042,U,2.029,U,4.892,U,3.997,U,3.613,U,3.545,U,6.807,U,7.116,U,19.986,U,4.289,U,5.591,U
Retene,,3.639,U,8.492,U,2.408,U,4.840,U,2.373,U,3.585,U,1.921,U,5.095,U,1.076,U,1.120,U,1.052,U,1.045,U,2.521,U,3.181,,1.849,J,3.200,,3.508,U,3.667,U,10.299,U,2.209,J,3.871,
Dibenzothiophene,,3.439,U,8.024,U,2.275,U,4.574,U,2.242,U,3.388,U,1.815,U,4.814,U,1.016,U,1.059,U,0.994,U,0.988,U,2.382,U,1.946,U,1.759,U,1.726,U,3.314,U,3.465,U,9.731,U,2.088,U,2.722,U
C1-Dibenzothiophenes,,3.439,U,8.024,U,2.275,U,4.574,U,2.242,U,3.388,U,1.815,U,4.814,U,1.016,U,1.059,U,0.994,U,0.988,U,2.382,U,1.946,U,1.759,U,1.726,U,3.314,U,3.465,U,9.731,U,2.088,U,2.722,U
C2-Dibenzothiophenes,,3.439,U,8.024,U,2.275,U,4.574,U,2.242,U,3.388,U,1.815,U,4.814,U,1.016,U,1.059,U,0.994,U,0.988,U,2.382,U,1.946,U,1.759,U,1.726,U,3.314,U,3.465,U,9.731,U,2.088,U,2.722,U
C3-Dibenzothiophenes,,3.439,U,8.024,U,2.275,U,4.574,U,2.242,U,3.388,U,1.815,U,4.814,U,1.016,U,1.059,U,0.994,U,0.988,U,2.382,U,1.946,U,1.759,U,1.726,U,3.314,U,3.465,U,9.731,U,2.088,U,2.722,U
C4-Dibenzothiophenes,,3.439,U,8.024,U,2.275,U,4.574,U,2.242,U,3.388,U,1.815,U,4.814,U,1.016,U,1.059,U,0.994,U,0.988,U,2.382,U,1.946,U,1.759,U,1.726,U,3.314,U,3.465,U,9.731,U,2.088,U,2.722,U
Fluoranthene,,2.544,U,5.937,U,1.684,U,3.384,U,1.659,U,2.530,,1.361,,3.562,U,0.752,U,0.783,U,0.752,J,0.731,U,1.785,,2.265,,0.932,J,2.863,,3.394,,2.564,U,7.200,U,1.582,J,2.620,J
Pyrene,,2.232,J,3.615,J,1.510,U,3.035,U,1.488,U,2.546,,1.368,,2.949,J,0.721,J,0.703,U,0.808,J,0.731,J,1.195,J,2.051,J,1.006,J,2.774,,2.427,,2.089,J,6.674,,1.734,J,2.303,J
C1-Fluoranthenes/Pyrenes,,2.282,U,5.325,U,1.510,U,3.035,U,1.488,U,2.249,U,1.205,U,3.195,U,0.675,U,0.703,U,0.660,U,0.656,U,1.581,U,4.518,,1.167,U,4.238,,2.200,U,2.300,U,6.458,U,1.386,U,5.852,
C2-Fluoranthenes/Pyrenes,,2.282,U,5.325,U,1.510,U,3.035,U,1.488,U,2.249,U,1.205,U,3.195,U,0.675,U,0.703,U,0.660,U,0.656,U,1.581,U,1.292,U,1.167,U,1.145,U,2.200,U,2.300,U,6.458,U,1.386,U,1.807,U
C3-Fluoranthenes/Pyrenes,,2.282,U,5.325,U,1.510,U,3.035,U,1.488,U,2.249,U,1.205,U,3.195,U,0.675,U,0.703,U,0.660,U,0.656,U,1.581,U,1.292,U,1.167,U,1.145,U,2.200,U,2.300,U,6.458,U,1.386,U,1.807,U
Benzo(a)anthracene,,1.191,J,4.714,U,1.337,U,2.687,U,0.373,J,1.990,U,1.066,U,2.828,U,0.340,J,0.622,U,0.584,U,0.580,U,1.399,U,0.585,J,1.033,U,1.014,U,1.947,U,2.035,U,2.777,J,1.227,U,1.599,U
Chrysene,,2.539,,3.814,U,1.082,U,2.174,U,1.224,J,2.144,J,1.148,J,1.946,J,1.000,J,1.006,J,1.017,J,1.171,,1.570,J,4.026,,2.145,,3.367,,4.242,,3.043,,6.588,,2.832,,4.173,
C1-Chrysenes,,1.635,U,3.814,U,1.082,U,2.174,U,1.066,U,1.610,U,0.863,U,2.288,U,1.533,,1.785,,1.916,,1.500,,1.132,U,3.398,,0.836,U,3.320,,5.150,,1.647,U,4.626,U,0.993,U,3.544,
C2-Chrysenes,,1.635,U,3.814,U,1.082,U,2.174,U,1.066,U,1.610,U,0.863,U,2.288,U,0.483,U,0.503,U,0.473,U,0.470,U,1.132,U,0.925,U,0.836,U,0.820,U,1.575,U,1.647,U,4.626,U,0.993,U,1.294,U
C3-Chrysenes,,1.635,U,3.814,U,1.082,U,2.174,U,1.066,U,1.610,U,0.863,U,2.288,U,0.483,U,0.503,U,0.473,U,0.470,U,1.132,U,0.925,U,0.836,U,0.820,U,1.575,U,1.647,U,4.626,U,0.993,U,1.294,U
C4-Chrysenes,,1.635,U,3.814,U,1.082,U,2.174,U,1.066,U,1.610,U,0.863,U,2.288,U,0.483,U,0.503,U,0.473,U,0.470,U,1.132,U,0.925,U,0.836,U,0.820,U,1.575,U,1.647,U,4.626,U,0.993,U,1.294,U
Benzo(b)fluoranthene,,1.943,U,4.534,U,1.286,U,2.584,U,1.267,U,1.914,U,1.026,U,2.720,U,0.574,U,0.598,U,0.562,U,1.524,,1.346,U,1.100,U,0.994,U,0.975,U,1.873,U,1.958,U,5.498,U,1.180,U,1.538,U
Benzo(k)fluoranthene,,1.789,U,4.174,U,1.184,U,2.379,U,1.166,U,1.762,U,0.944,U,2.504,U,0.529,U,0.551,U,0.517,U,0.514,U,1.239,U,1.012,U,0.915,U,0.898,U,1.724,U,1.802,U,5.062,U,1.086,U,1.416,U
Benzo(e)pyrene,,1.727,U,4.030,U,1.143,U,2.297,U,1.126,U,1.702,U,0.912,U,2.418,U,0.510,U,0.532,U,0.499,U,0.496,U,1.196,U,0.977,U,0.884,U,0.867,U,1.665,U,1.740,U,4.887,U,1.049,U,2.999,J
Benzo(a)pyrene,,1.263,U,2.947,U,0.836,U,1.680,U,0.823,U,1.244,U,0.667,U,1.768,U,0.373,U,0.389,U,0.365,U,0.363,U,0.875,U,0.715,U,0.646,U,0.634,U,1.217,U,1.273,U,3.574,U,0.767,U,1.000,U
Perylene,,1.650,U,3.850,U,1.092,U,2.195,U,1.076,U,1.626,U,0.871,U,2.310,U,0.488,U,0.508,U,0.477,U,0.474,U,1.143,U,5.548,,2.703,,4.145,,1.590,U,1.663,U,4.669,U,3.811,,5.636,
"Indeno(1,2,3-cd)pyrene",,1.459,U,3.404,U,0.965,U,1.940,U,0.951,U,1.437,U,0.770,U,2.042,U,0.431,U,0.449,U,0.422,U,0.419,U,1.011,U,0.826,U,0.746,U,0.732,U,1.406,U,1.470,U,4.128,U,0.886,U,1.155,U
"Dibenz(a,h)anthracene",,0.751,U,1.752,U,0.497,U,0.999,U,0.490,U,0.740,U,0.396,U,1.051,U,0.222,U,0.231,U,0.217,U,0.216,U,0.520,U,0.425,U,0.384,U,0.377,U,0.724,U,0.757,U,2.125,U,0.456,U,0.595,U
"Benzo(g,h,i)perylene",,1.120,U,2.612,U,0.741,U,1.489,U,0.730,U,1.103,U,0.591,U,1.567,U,0.331,U,0.345,U,0.324,U,0.322,U,0.776,U,0.634,U,0.573,U,0.562,U,1.079,U,1.128,U,3.168,U,0.680,U,3.196,
Total PAH,,21.055,,36.956,,11.293,,20.972,,19.525,,33.596,,25.764,,30.749,,23.686,,20.433,,22.068,,23.485,,29.403,,69.105,,19.515,,45.069,,32.468,,17.201,,68.894,,30.019,,69.923,
"14a(H),17a(H)-20R-Cholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"13b(H),17a(H)-20S-Diacholestane ",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"13b(H),17a(H)-20R-Diacholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"13b(H),17a(H)-20S-Methyldiacholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14a(H),17a(H)-20S-Cholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14b(H),17b(H)-20R-Cholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14b(H),17b(H)-20S-Cholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14a(H),17a(H)-20S-methylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14b(H),17b(H)-20R-Methylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14b(H),17b(H)-20S-Methylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14a(H),17a(H)-20R-methylcholestane ",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14a(H),17a(H)-20S-Ethylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14b(H),17b(H)-20R-Ethylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14b(H),17b(H)-20S-Ethylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
"14a(H),17a(H)-20R-Ethylcholestane",,1.219,U,2.844,U,0.807,U,1.621,U,0.795,U,1.201,U,0.643,U,1.706,U,0.360,U,0.375,U,0.352,U,0.350,U,0.844,U,0.690,U,0.623,U,0.612,U,1.175,U,1.228,U,3.449,U,0.740,U,0.965,U
C23 Tricyclic Terpane,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C24 Tricyclic Terpane ,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C25 Tricyclic Terpane,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C24 Tetracyclic Terpane,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C26 Tricyclic Terpane-22S,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C26 Tricyclic Terpane-22R,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C28 Tricyclic Terpane-22S,,4.204,U,9.810,U,2.782,U,2.029,J,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C28 Tricyclic Terpane-22R,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C29 Tricyclic Terpane-22S,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
C29 Tricyclic Terpane-22R,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"17a(H),21b(H)-28,30-Bisnorhopane",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"17a(H),21b(H)-25-Norhopane",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
30-Norhopane,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
17a(H)-Diahopane,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
30-Normoretane,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
18a(H) & 18b(H)-Oleananes,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
