"haul_id","lat","lon","bot_temp","bot_salt","bot_depth","gear","year","common_name","cpue_kg_km2"
"2009e-Norcross-CS8-BT1",67.4454,-169.5529,1.83,32.68,51,"beam",2009,"Arctic cod",353.557706
"2009e-Norcross-HC49-BT11",73.3368,-175.6953,-0.1,34.46,151.5,"beam",2009,"Arctic cod",463.447228
"2009e-Norcross-HC55-BT12",73.0007,-174.0802,-0.98,33.02,93.5,"beam",2009,"Arctic cod",44.306604
"2009e-Norcross-HC60-BT13",71.439,-174.8603,-0.49,33.11,80,"beam",2009,"Arctic cod",208.501632
"2009e-Norcross-LS1-BT4",69.7927,177.9784,3.7,25.79,43.5,"beam",2009,"Arctic cod",166.149756
"2009e-Norcross-SS3-BT7",72.4309,-174.1303,-1.41,31.21,45,"beam",2009,"Arctic cod",170.765027
"2009e-Norcross-SS4-BT6",71.8804,173.1266,-1.45,31.53,42,"beam",2009,"Arctic cod",5.30618
"2009e-Norcross-SS5-BT5",71.3689,172.6067,-1.46,31.8,45,"beam",2009,"Arctic cod",96.828996
"2009e-Norcross-WN1-BT10",71.6694,179.485,-0.76,30.51,32.5,"beam",2009,"Arctic cod",37.6606134
"2009e-Norcross-WN3-BT8",72.6479,177.6025,-1.53,32.79,74.3,"beam",2009,"Arctic cod",177.6879335
"2009g-Norcross-BF001-BT31",71.1199,-163.7981,2.28,32.01,40.55,"beam",2009,"Arctic cod",22.8994300075603
"2009g-Norcross-BF003-BT51",71.1125,-163.0318,1.4,32.17,42.95,"beam",2009,"Arctic cod",74.6699655919388
"2009g-Norcross-BF005-BT53",71.1049,-162.2658,1.13,32.27,45.25,"beam",2009,"Arctic cod",30.7549151966932
"2009g-Norcross-BF007-BT34",71.2434,-163.403,2.25,32.05,42.35,"beam",2009,"Arctic cod",4.74405075376119
"2009g-Norcross-BF009-BT49",71.2342,-162.6317,0.89,32.36,43.7,"beam",2009,"Arctic cod",127.282863667017
"2009g-Norcross-BF011-BT29",71.3705,-163.7857,1.3,32.2,42.8,"beam",2009,"Arctic cod",34.6541450923196
"2009g-Norcross-BF013-BT39",71.3662,-163.0111,2.05,31.63,43,"beam",2009,"Arctic cod",121.771114114623
"2009g-Norcross-BF015-BT45",71.3511,-162.2331,0.72,32.4,42.35,"beam",2009,"Arctic cod",70.7767296541909
"2009g-Norcross-BF017-BT37",71.4902,-163.3852,1.12,32.24,40.1,"beam",2009,"Arctic cod",49.5874461186384
"2009g-Norcross-BF019-BT43",71.4809,-162.6043,0.96,32.28,41.6,"beam",2009,"Arctic cod",104.487075425957
"2009g-Norcross-BF021-BT27",71.6177,-163.7779,1.6,32.17,39.3,"beam",2009,"Arctic cod",63.0831444633074
"2009g-Norcross-BF023-BT41",71.6144,-162.9799,1.22,32.23,40.2,"beam",2009,"Arctic cod",135.016587307977
"2009g-Norcross-BF025-BT47",71.6013,-162.1958,1.08,32.23,41.4,"beam",2009,"Arctic cod",83.7267196538671
"2009g-Norcross-KF001-BT4",70.6435,-165.9997,2.34,32.03,39.85,"beam",2009,"Arctic cod",114.873750515882
"2009g-Norcross-KF003-BT10",70.6456,-165.2404,2.39,32.06,40.05,"beam",2009,"Arctic cod",117.690372013292
"2009g-Norcross-KF005-BT20",70.6484,-164.4952,2.36,32.09,44.2,"beam",2009,"Arctic cod",30.4347650113068
"2009g-Norcross-KF007-BT8",70.7718,-165.6307,2.26,32.11,39.25,"beam",2009,"Arctic cod",160.844052511957
"2009g-Norcross-KF009-BT18",70.774,-164.8722,3.69,31.62,37.55,"beam",2009,"Arctic cod",171.403381291422
"2009g-Norcross-KF011-BT2",70.8954,-166.0138,2.17,32.13,39.35,"beam",2009,"Arctic cod",151.897334663947
"2009g-Norcross-KF013-BT14",70.8995,-165.2526,2.54,32.05,39.2,"beam",2009,"Arctic cod",228.342863570199
