SiteCode,VariableCode,TSN,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,ValueAccuracy
152W0,Hg-MM,93294,JT-2015-BIOTA-Amphipods-150W0,-9999,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.001
152W0,Mn-T,93294,JT-2015-BIOTA-Amphipods-150W0,11.0,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,1.1
152W0,Ni-T,93294,JT-2015-BIOTA-Amphipods-150W0,2.14,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.004
152W0,Pb-T,93294,JT-2015-BIOTA-Amphipods-150W0,0.119,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.001
152W0,Sb-T,93294,JT-2015-BIOTA-Amphipods-150W0,0.001,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.001
152W0,Se-T,93294,JT-2015-BIOTA-Amphipods-150W0,2.48,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.03
152W0,Sn-T,93294,JT-2015-BIOTA-Amphipods-150W0,0.011,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.001
152W0,Tl-T,93294,JT-2015-BIOTA-Amphipods-150W0,0.008,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.0001
152W0,V-T,93294,JT-2015-BIOTA-Amphipods-150W0,8.66,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.002
152W0,Zn-T,93294,JT-2015-BIOTA-Amphipods-150W0,173,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.4
152W0,Water-T,93294,JT-2015-BIOTA-Amphipods-150W0,72.2,nc,15.9,meters,Offset value represents sediment bottom depth of sampler,0.1
152W1,Ag-T,93294,JT-2015-BIOTA-Amphipods-150W1,1.05,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.004
152W1,Al-T,93294,JT-2015-BIOTA-Amphipods-150W1,214,nc,38,meters,Offset value represents sediment bottom depth of sampler,2.3
152W1,As-T,93294,JT-2015-BIOTA-Amphipods-150W1,17.1,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.012
152W1,Ba-T,93294,JT-2015-BIOTA-Amphipods-150W1,7.87,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.01
152W1,Be-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.003,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Cd-T,93294,JT-2015-BIOTA-Amphipods-150W1,2.47,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Cr-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.35,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.01
152W1,Cu-T,93294,JT-2015-BIOTA-Amphipods-150W1,62.4,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.7
152W1,Fe-T,93294,JT-2015-BIOTA-Amphipods-150W1,154,nc,38,meters,Offset value represents sediment bottom depth of sampler,2.5
152W1,Hg-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.142,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Hg-MM,93294,JT-2015-BIOTA-Amphipods-150W1,-9999,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Mn-T,93294,JT-2015-BIOTA-Amphipods-150W1,12.9,nc,38,meters,Offset value represents sediment bottom depth of sampler,1.1
152W1,Ni-T,93294,JT-2015-BIOTA-Amphipods-150W1,2.43,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.004
152W1,Pb-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.165,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Sb-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.003,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Se-T,93294,JT-2015-BIOTA-Amphipods-150W1,2.54,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.03
152W1,Sn-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.025,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.001
152W1,Tl-T,93294,JT-2015-BIOTA-Amphipods-150W1,0.007,nc,38,meters,Offset value represents sediment bottom depth of sampler,0.0001
