SiteCode,VariableCode,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,Qualifier,ValueAccuracy
8,POC,JT-2014-SM-8-6m,13.4,nc,6,meter,Offset value represents depth below sea surface.,,0.1
8,TSS,JT-2014-SM-8-10m-#1,1.01,nc,10,meter,Offset value represents depth below sea surface.,,0.01
8,Al-P,JT-2014-SM-8-10m-#1,3.72,nc,10,meter,Offset value represents depth below sea surface.,,0.03
8,Ba-P,JT-2014-SM-8-10m-#1,297,nc,10,meter,Offset value represents depth below sea surface.,,1.5
8,Cu-P,JT-2014-SM-8-10m-#1,63.5,nc,10,meter,Offset value represents depth below sea surface.,,0.1
8,Fe-P,JT-2014-SM-8-10m-#1,3.59,nc,10,meter,Offset value represents depth below sea surface.,,0.03
8,Mn-P,JT-2014-SM-8-10m-#1,2320,nc,10,meter,Offset value represents depth below sea surface.,,5
8,Si-P,JT-2014-SM-8-10m-#1,19.5,nc,10,meter,Offset value represents depth below sea surface.,,0.4
8,POC,JT-2014-SM-8-10m-#1,12.9,nc,10,meter,Offset value represents depth below sea surface.,,0.1
8,TSS,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,0.01
8,Al-P,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,0.03
8,Ba-P,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,1.5
8,Cu-P,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,0.1
8,Fe-P,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,0.03
8,Mn-P,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,5
8,Si-P,JT-2014-SM-8-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,0.4
8,POC,JT-2014-SM-8-10m-#2,13.0,nc,10,meter,Offset value represents depth below sea surface.,,0.1
8,TSS,JT-2014-SM-8-13m-#1,1.31,nc,13,meter,Offset value represents depth below sea surface.,,0.01
8,Al-P,JT-2014-SM-8-13m-#1,4.49,nc,13,meter,Offset value represents depth below sea surface.,,0.03
8,Ba-P,JT-2014-SM-8-13m-#1,332,nc,13,meter,Offset value represents depth below sea surface.,,1.5
8,Cu-P,JT-2014-SM-8-13m-#1,52.2,nc,13,meter,Offset value represents depth below sea surface.,,0.1
8,Fe-P,JT-2014-SM-8-13m-#1,3.91,nc,13,meter,Offset value represents depth below sea surface.,,0.03
8,Mn-P,JT-2014-SM-8-13m-#1,2460,nc,13,meter,Offset value represents depth below sea surface.,,5
8,Si-P,JT-2014-SM-8-13m-#1,20.8,nc,13,meter,Offset value represents depth below sea surface.,,0.4
8,POC,JT-2014-SM-8-13m-#1,9.1,nc,13,meter,Offset value represents depth below sea surface.,,0.1
8,TSS,JT-2014-SM-8-13m-#2,1.35,nc,13,meter,Offset value represents depth below sea surface.,,0.01
8,Al-P,JT-2014-SM-8-13m-#2,4.44,nc,13,meter,Offset value represents depth below sea surface.,,0.03
8,Ba-P,JT-2014-SM-8-13m-#2,329,nc,13,meter,Offset value represents depth below sea surface.,,1.5
8,Cu-P,JT-2014-SM-8-13m-#2,51.4,nc,13,meter,Offset value represents depth below sea surface.,,0.1
8,Fe-P,JT-2014-SM-8-13m-#2,3.85,nc,13,meter,Offset value represents depth below sea surface.,,0.03
8,Mn-P,JT-2014-SM-8-13m-#2,2370,nc,13,meter,Offset value represents depth below sea surface.,,5
8,Si-P,JT-2014-SM-8-13m-#2,20.9,nc,13,meter,Offset value represents depth below sea surface.,,0.4
8,POC,JT-2014-SM-8-13m-#2,-9999,nc,13,meter,Offset value represents depth below sea surface.,,0.1
10,TSS,JT-2014-SM-10-1.5m-#1,1.81,nc,1.5,meter,Offset value represents depth below sea surface.,,0.01
10,Al-P,JT-2014-SM-10-1.5m-#1,4.34,nc,1.5,meter,Offset value represents depth below sea surface.,,0.03
10,Ba-P,JT-2014-SM-10-1.5m-#1,313,nc,1.5,meter,Offset value represents depth below sea surface.,,1.5
10,Cu-P,JT-2014-SM-10-1.5m-#1,69.5,nc,1.5,meter,Offset value represents depth below sea surface.,,0.1
10,Fe-P,JT-2014-SM-10-1.5m-#1,4.67,nc,1.5,meter,Offset value represents depth below sea surface.,,0.03
10,Mn-P,JT-2014-SM-10-1.5m-#1,1090,nc,1.5,meter,Offset value represents depth below sea surface.,,5
10,Si-P,JT-2014-SM-10-1.5m-#1,19.8,nc,1.5,meter,Offset value represents depth below sea surface.,,0.4
10,POC,JT-2014-SM-10-1.5m-#1,10.2,nc,1.5,meter,Offset value represents depth below sea surface.,,0.1
10,TSS,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,0.01
10,Al-P,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,0.03
10,Ba-P,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,1.5
10,Cu-P,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,0.1
10,Fe-P,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,0.03
10,Mn-P,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,5
10,Si-P,JT-2014-SM-10-1.5m-#2,-9999,nc,1.5,meter,Offset value represents depth below sea surface.,,0.4
10,POC,JT-2014-SM-10-1.5m-#2,9.6,nc,1.5,meter,Offset value represents depth below sea surface.,,0.1
10,TSS,JT-2014-SM-10-12m,1.55,nc,12,meter,Offset value represents depth below sea surface.,,0.01
10,Al-P,JT-2014-SM-10-12m,4.56,nc,12,meter,Offset value represents depth below sea surface.,,0.03
10,Ba-P,JT-2014-SM-10-12m,335,nc,12,meter,Offset value represents depth below sea surface.,,1.5
10,Cu-P,JT-2014-SM-10-12m,53.2,nc,12,meter,Offset value represents depth below sea surface.,,0.1
10,Fe-P,JT-2014-SM-10-12m,3.78,nc,12,meter,Offset value represents depth below sea surface.,,0.03
10,Mn-P,JT-2014-SM-10-12m,2030,nc,12,meter,Offset value represents depth below sea surface.,,5
10,Si-P,JT-2014-SM-10-12m,21.4,nc,12,meter,Offset value represents depth below sea surface.,,0.4
10,POC,JT-2014-SM-10-12m,6.7,nc,12,meter,Offset value represents depth below sea surface.,,0.1
10,TSS,JT-2014-SM-10-21m,1.10,nc,21,meter,Offset value represents depth below sea surface.,,0.01
10,Al-P,JT-2014-SM-10-21m,4.06,nc,21,meter,Offset value represents depth below sea surface.,,0.03
10,Ba-P,JT-2014-SM-10-21m,321,nc,21,meter,Offset value represents depth below sea surface.,,1.5
10,Cu-P,JT-2014-SM-10-21m,79.2,nc,21,meter,Offset value represents depth below sea surface.,,0.1
10,Fe-P,JT-2014-SM-10-21m,3.64,nc,21,meter,Offset value represents depth below sea surface.,,0.03
10,Mn-P,JT-2014-SM-10-21m,1560,nc,21,meter,Offset value represents depth below sea surface.,,5
10,Si-P,JT-2014-SM-10-21m,22.5,nc,21,meter,Offset value represents depth below sea surface.,,0.4
10,POC,JT-2014-SM-10-21m,8.2,nc,21,meter,Offset value represents depth below sea surface.,,0.1
5(5),TSS,JT-2014-SM-5(5)-6m,1.02,nc,6,meter,Offset value represents depth below sea surface.,,0.01
5(5),Al-P,JT-2014-SM-5(5)-6m,4.13,nc,6,meter,Offset value represents depth below sea surface.,,0.03
5(5),Ba-P,JT-2014-SM-5(5)-6m,345,nc,6,meter,Offset value represents depth below sea surface.,,1.5
5(5),Cu-P,JT-2014-SM-5(5)-6m,47.2,nc,6,meter,Offset value represents depth below sea surface.,,0.1
5(5),Fe-P,JT-2014-SM-5(5)-6m,2.82,nc,6,meter,Offset value represents depth below sea surface.,,0.03
5(5),Mn-P,JT-2014-SM-5(5)-6m,1500,nc,6,meter,Offset value represents depth below sea surface.,,5
5(5),Si-P,JT-2014-SM-5(5)-6m,20.5,nc,6,meter,Offset value represents depth below sea surface.,,0.4
5(5),POC,JT-2014-SM-5(5)-6m,9.9,nc,6,meter,Offset value represents depth below sea surface.,,0.1
5(5),TSS,JT-2014-SM-5(5)-12m-#1,1.59,nc,12,meter,Offset value represents depth below sea surface.,,0.01
5(5),Al-P,JT-2014-SM-5(5)-12m-#1,4.47,nc,12,meter,Offset value represents depth below sea surface.,,0.03
5(5),Ba-P,JT-2014-SM-5(5)-12m-#1,409,nc,12,meter,Offset value represents depth below sea surface.,,1.5
5(5),Cu-P,JT-2014-SM-5(5)-12m-#1,38.8,nc,12,meter,Offset value represents depth below sea surface.,,0.1
5(5),Fe-P,JT-2014-SM-5(5)-12m-#1,3.62,nc,12,meter,Offset value represents depth below sea surface.,,0.03
5(5),Mn-P,JT-2014-SM-5(5)-12m-#1,852,nc,12,meter,Offset value represents depth below sea surface.,,5
5(5),Si-P,JT-2014-SM-5(5)-12m-#1,21.9,nc,12,meter,Offset value represents depth below sea surface.,,0.4
5(5),POC,JT-2014-SM-5(5)-12m-#1,6.7,nc,12,meter,Offset value represents depth below sea surface.,,0.1
5(5),TSS,JT-2014-SM-5(5)-12m-#2,1.79,nc,12,meter,Offset value represents depth below sea surface.,,0.01
5(5),Al-P,JT-2014-SM-5(5)-12m-#2,4.39,nc,12,meter,Offset value represents depth below sea surface.,,0.03
5(5),Ba-P,JT-2014-SM-5(5)-12m-#2,395,nc,12,meter,Offset value represents depth below sea surface.,,1.5
5(5),Cu-P,JT-2014-SM-5(5)-12m-#2,43.5,nc,12,meter,Offset value represents depth below sea surface.,,0.1
5(5),Fe-P,JT-2014-SM-5(5)-12m-#2,3.55,nc,12,meter,Offset value represents depth below sea surface.,,0.03
5(5),Mn-P,JT-2014-SM-5(5)-12m-#2,838,nc,12,meter,Offset value represents depth below sea surface.,,5
5(5),Si-P,JT-2014-SM-5(5)-12m-#2,22.5,nc,12,meter,Offset value represents depth below sea surface.,,0.4
5(5),POC,JT-2014-SM-5(5)-12m-#2,-9999,nc,12,meter,Offset value represents depth below sea surface.,,0.1
5(5),TSS,JT-2014-SM-5(5)-16m-#1,1.73,nc,16,meter,Offset value represents depth below sea surface.,,0.01
5(5),Al-P,JT-2014-SM-5(5)-16m-#1,4.08,nc,16,meter,Offset value represents depth below sea surface.,,0.03
5(5),Ba-P,JT-2014-SM-5(5)-16m-#1,352,nc,16,meter,Offset value represents depth below sea surface.,,1.5
5(5),Cu-P,JT-2014-SM-5(5)-16m-#1,53.4,nc,16,meter,Offset value represents depth below sea surface.,,0.1
5(5),Fe-P,JT-2014-SM-5(5)-16m-#1,3.47,nc,16,meter,Offset value represents depth below sea surface.,,0.03
5(5),Mn-P,JT-2014-SM-5(5)-16m-#1,816,nc,16,meter,Offset value represents depth below sea surface.,,5
5(5),Si-P,JT-2014-SM-5(5)-16m-#1,24.2,nc,16,meter,Offset value represents depth below sea surface.,,0.4
5(5),POC,JT-2014-SM-5(5)-16m-#1,9.4,nc,16,meter,Offset value represents depth below sea surface.,,0.1
5(5),TSS,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,0.01
5(5),Al-P,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,0.03
5(5),Ba-P,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,1.5
5(5),Cu-P,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,0.1
5(5),Fe-P,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,0.03
5(5),Mn-P,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,5
5(5),Si-P,JT-2014-SM-5(5)-16m-#2,-9999,nc,16,meter,Offset value represents depth below sea surface.,,0.4
5(5),POC,JT-2014-SM-5(5)-16m-#2,9.7,nc,16,meter,Offset value represents depth below sea surface.,,0.1
L250-5,TSS,JT-2014-SM-L250-5-4m,0.76,nc,4,meter,Offset value represents depth below sea surface.,,0.01
L250-5,Al-P,JT-2014-SM-L250-5-4m,3.96,nc,4,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Ba-P,JT-2014-SM-L250-5-4m,328,nc,4,meter,Offset value represents depth below sea surface.,,1.5
L250-5,Cu-P,JT-2014-SM-L250-5-4m,118,nc,4,meter,Offset value represents depth below sea surface.,,0.1
L250-5,Fe-P,JT-2014-SM-L250-5-4m,3.32,nc,4,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Mn-P,JT-2014-SM-L250-5-4m,1100,nc,4,meter,Offset value represents depth below sea surface.,,5
L250-5,Si-P,JT-2014-SM-L250-5-4m,17.9,nc,4,meter,Offset value represents depth below sea surface.,,0.4
L250-5,POC,JT-2014-SM-L250-5-4m,10.9,nc,4,meter,Offset value represents depth below sea surface.,,0.1
L250-5,TSS,JT-2014-SM-L250-5-20m,0.99,nc,20,meter,Offset value represents depth below sea surface.,,0.01
L250-5,Al-P,JT-2014-SM-L250-5-20m,2.87,nc,20,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Ba-P,JT-2014-SM-L250-5-20m,246,nc,20,meter,Offset value represents depth below sea surface.,,1.5
L250-5,Cu-P,JT-2014-SM-L250-5-20m,46.0,nc,20,meter,Offset value represents depth below sea surface.,,0.1
L250-5,Fe-P,JT-2014-SM-L250-5-20m,2.63,nc,20,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Mn-P,JT-2014-SM-L250-5-20m,912,nc,20,meter,Offset value represents depth below sea surface.,,5
L250-5,Si-P,JT-2014-SM-L250-5-20m,20.6,nc,20,meter,Offset value represents depth below sea surface.,,0.4
L250-5,POC,JT-2014-SM-L250-5-20m,10.7,nc,20,meter,Offset value represents depth below sea surface.,,0.1
L250-5,TSS,JT-2014-SM-L250-5-29m-#1,1.68,nc,29,meter,Offset value represents depth below sea surface.,,0.01
L250-5,Al-P,JT-2014-SM-L250-5-29m-#1,3.67,nc,29,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Ba-P,JT-2014-SM-L250-5-29m-#1,310,nc,29,meter,Offset value represents depth below sea surface.,,1.5
L250-5,Cu-P,JT-2014-SM-L250-5-29m-#1,40.7,nc,29,meter,Offset value represents depth below sea surface.,,0.1
L250-5,Fe-P,JT-2014-SM-L250-5-29m-#1,3.01,nc,29,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Mn-P,JT-2014-SM-L250-5-29m-#1,561,nc,29,meter,Offset value represents depth below sea surface.,,5
L250-5,Si-P,JT-2014-SM-L250-5-29m-#1,21.6,nc,29,meter,Offset value represents depth below sea surface.,,0.4
L250-5,POC,JT-2014-SM-L250-5-29m-#1,7.6,nc,29,meter,Offset value represents depth below sea surface.,,0.1
L250-5,TSS,JT-2014-SM-L250-5-29m-#2,1.61,nc,29,meter,Offset value represents depth below sea surface.,,0.01
L250-5,Al-P,JT-2014-SM-L250-5-29m-#2,3.71,nc,29,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Ba-P,JT-2014-SM-L250-5-29m-#2,315,nc,29,meter,Offset value represents depth below sea surface.,,1.5
L250-5,Cu-P,JT-2014-SM-L250-5-29m-#2,37.8,nc,29,meter,Offset value represents depth below sea surface.,,0.1
L250-5,Fe-P,JT-2014-SM-L250-5-29m-#2,3.01,nc,29,meter,Offset value represents depth below sea surface.,,0.03
L250-5,Mn-P,JT-2014-SM-L250-5-29m-#2,567,nc,29,meter,Offset value represents depth below sea surface.,,5
L250-5,Si-P,JT-2014-SM-L250-5-29m-#2,22.5,nc,29,meter,Offset value represents depth below sea surface.,,0.4
L250-5,POC,JT-2014-SM-L250-5-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,0.1
T-3,TSS,JT-2014-SM-T-3-4m,0.58,nc,4,meter,Offset value represents depth below sea surface.,,0.01
T-3,Al-P,JT-2014-SM-T-3-4m,3.65,nc,4,meter,Offset value represents depth below sea surface.,,0.03
T-3,Ba-P,JT-2014-SM-T-3-4m,360,nc,4,meter,Offset value represents depth below sea surface.,,1.5
T-3,Cu-P,JT-2014-SM-T-3-4m,52.9,nc,4,meter,Offset value represents depth below sea surface.,,0.1
T-3,Fe-P,JT-2014-SM-T-3-4m,3.32,nc,4,meter,Offset value represents depth below sea surface.,,0.03
T-3,Mn-P,JT-2014-SM-T-3-4m,724,nc,4,meter,Offset value represents depth below sea surface.,,5
T-3,Si-P,JT-2014-SM-T-3-4m,16.9,nc,4,meter,Offset value represents depth below sea surface.,,0.4
T-3,POC,JT-2014-SM-T-3-4m,12.8,nc,4,meter,Offset value represents depth below sea surface.,,0.1
T-3,TSS,JT-2014-SM-T-3-29m-#1,1.57,nc,29,meter,Offset value represents depth below sea surface.,,0.01
T-3,Al-P,JT-2014-SM-T-3-29m-#1,2.05,nc,29,meter,Offset value represents depth below sea surface.,,0.03
T-3,Ba-P,JT-2014-SM-T-3-29m-#1,225,nc,29,meter,Offset value represents depth below sea surface.,,1.5
T-3,Cu-P,JT-2014-SM-T-3-29m-#1,35.3,nc,29,meter,Offset value represents depth below sea surface.,,0.1
T-3,Fe-P,JT-2014-SM-T-3-29m-#1,1.64,nc,29,meter,Offset value represents depth below sea surface.,,0.03
T-3,Mn-P,JT-2014-SM-T-3-29m-#1,441,nc,29,meter,Offset value represents depth below sea surface.,,5
T-3,Si-P,JT-2014-SM-T-3-29m-#1,20.9,nc,29,meter,Offset value represents depth below sea surface.,,0.4
T-3,POC,JT-2014-SM-T-3-29m-#1,15.1,nc,29,meter,Offset value represents depth below sea surface.,,0.1
T-3,TSS,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,0.01
T-3,Al-P,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,0.03
T-3,Ba-P,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,1.5
T-3,Cu-P,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,0.1
T-3,Fe-P,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,0.03
T-3,Mn-P,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,5
T-3,Si-P,JT-2014-SM-T-3-29m-#2,-9999,nc,29,meter,Offset value represents depth below sea surface.,,0.4
T-3,POC,JT-2014-SM-T-3-29m-#2,14.6,nc,29,meter,Offset value represents depth below sea surface.,,0.1
T-3,TSS,JT-2014-SM-T-3-33m,1.76,nc,33,meter,Offset value represents depth below sea surface.,,0.01
T-3,Al-P,JT-2014-SM-T-3-33m,2.44,nc,33,meter,Offset value represents depth below sea surface.,,0.03
T-3,Ba-P,JT-2014-SM-T-3-33m,272,nc,33,meter,Offset value represents depth below sea surface.,,1.5
T-3,Cu-P,JT-2014-SM-T-3-33m,37.5,nc,33,meter,Offset value represents depth below sea surface.,,0.1
T-3,Fe-P,JT-2014-SM-T-3-33m,1.82,nc,33,meter,Offset value represents depth below sea surface.,,0.03
T-3,Mn-P,JT-2014-SM-T-3-33m,440,nc,33,meter,Offset value represents depth below sea surface.,,5
T-3,Si-P,JT-2014-SM-T-3-33m,21.2,nc,33,meter,Offset value represents depth below sea surface.,,0.4
T-3,POC,JT-2014-SM-T-3-33m,12.4,nc,33,meter,Offset value represents depth below sea surface.,,0.1
20,TSS,JT-2014-SM-20-6m,0.42,nc,6,meter,Offset value represents depth below sea surface.,,0.01
20,Al-P,JT-2014-SM-20-6m,3.38,nc,6,meter,Offset value represents depth below sea surface.,,0.03
20,Ba-P,JT-2014-SM-20-6m,358,nc,6,meter,Offset value represents depth below sea surface.,,1.5
