Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W07,,,,,,,,,,,,,,
Date:,5/17/2015,,,,,,,,,,,,,,
Time (ADST):,9:51,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
6.563,6.496,2.600668,-1.7914,32.8976,26.4714,0.9454,11.6869,,,,,,,,
6.627,6.56,2.600881,-1.7914,32.9006,26.4737,0.9062,11.6881,,,,,,,,
6.69,6.622,2.601069,-1.791,32.9027,26.4755,0.908,11.6827,,,,,,,,
6.755,6.686,2.601063,-1.7905,32.9021,26.475,0.9005,11.6781,,,,,,,,
6.819,6.75,2.600916,-1.7908,32.9003,26.4735,0.8956,11.6858,,,,,,,,
6.883,6.813,2.600811,-1.7923,32.9004,26.4736,0.9417,11.6747,,,,,,,,
6.943,6.872,2.600861,-1.7934,32.9023,26.4752,0.9724,11.6737,,,,,,,,
7.003,6.932,2.601005,-1.7936,32.9046,26.477,0.9517,11.674,,,,,,,,
7.063,6.991,2.601128,-1.7939,32.9065,26.4787,0.9371,11.6686,,,,,,,,
7.12,7.048,2.6013,-1.794,32.909,26.4807,0.946,11.6659,,,,,,,,
7.177,7.104,2.601605,-1.7939,32.9131,26.484,0.9352,11.6638,,,,,,,,
7.232,7.159,2.601856,-1.7944,32.9172,26.4873,0.9101,11.6579,,,,,,,,
7.289,7.215,2.601904,-1.7956,32.9191,26.4889,0.906,11.6568,,,,,,,,
7.346,7.272,2.602048,-1.7964,32.9219,26.4913,0.8849,11.6555,,,,,,,,
7.404,7.329,2.602488,-1.7965,32.928,26.4963,0.8917,11.6486,,,,,,,,
7.46,7.384,2.603029,-1.7961,32.9352,26.502,0.9122,11.638,,,,,,,,
7.516,7.44,2.603517,-1.7955,32.9412,26.5069,0.9482,11.6381,,,,,,,,
7.572,7.495,2.603995,-1.795,32.9473,26.5119,0.9893,11.6295,,,,,,,,
7.628,7.55,2.604381,-1.7946,32.9523,26.5159,1.0116,11.6246,,,,,,,,
7.684,7.607,2.604401,-1.795,32.9529,26.5164,1.0082,11.6197,,,,,,,,
7.742,7.664,2.604264,-1.7961,32.9521,26.5158,1.0129,11.622,,,,,,,,
7.799,7.72,2.604366,-1.7968,32.9543,26.5176,1.0088,11.6152,,,,,,,,
7.857,7.777,2.604738,-1.7972,32.9599,26.5222,1.0101,11.6168,,,,,,,,
7.915,7.835,2.605106,-1.7976,32.9655,26.5267,1.0384,11.6068,,,,,,,,
7.974,7.893,2.605744,-1.7982,32.975,26.5345,1.0262,11.604,,,,,,,,
8.034,7.952,2.606475,-1.7989,32.9859,26.5433,0.968,11.6045,,,,,,,,
8.094,8.012,2.60687,-1.7998,32.9923,26.5485,0.8994,11.5948,,,,,,,,
8.154,8.071,2.606901,-1.8005,32.9936,26.5496,0.8793,11.5866,,,,,,,,
8.214,8.131,2.607223,-1.8009,32.9984,26.5535,0.8929,11.5777,,,,,,,,
8.274,8.19,2.608142,-1.8009,33.0112,26.5639,0.9681,11.5721,,,,,,,,
8.332,8.248,2.608579,-1.8013,33.0177,26.5692,0.9976,11.571,,,,,,,,
8.39,8.305,2.609463,-1.8022,33.0309,26.58,0.9501,11.5626,,,,,,,,
8.446,8.36,2.610386,-1.8032,33.0448,26.5913,0.9344,11.5508,,,,,,,,
8.502,8.416,2.611527,-1.8043,33.062,26.6053,0.9307,11.5509,,,,,,,,
8.558,8.471,2.612823,-1.8054,33.0812,26.6209,0.9304,11.5426,,,,,,,,
8.612,8.524,2.614189,-1.8066,33.1015,26.6375,0.9498,11.536,,,,,,,,
8.668,8.58,2.615598,-1.8075,33.1221,26.6542,0.9567,11.5268,,,,,,,,
8.724,8.636,2.616739,-1.8082,33.1387,26.6677,0.9309,11.5217,,,,,,,,
8.78,8.691,2.61762,-1.8093,33.1521,26.6787,0.9533,11.5102,,,,,,,,
8.837,8.747,2.61831,-1.8102,33.1629,26.6874,0.9705,11.5064,,,,,,,,
8.893,8.803,2.618682,-1.8113,33.1691,26.6926,0.9612,11.4948,,,,,,,,
8.949,8.858,2.619188,-1.8119,33.1768,26.6988,0.9876,11.4926,,,,,,,,
9.006,8.915,2.620158,-1.8118,33.1902,26.7097,1.044,11.4914,,,,,,,,
9.061,8.97,2.620764,-1.812,33.1988,26.7167,1.0929,11.4823,,,,,,,,
9.116,9.023,2.621587,-1.8127,33.2111,26.7268,1.1175,11.4742,,,,,,,,
9.168,9.075,2.622207,-1.814,33.2211,26.7349,1.1024,11.4672,,,,,,,,
9.218,9.124,2.623273,-1.8155,33.2376,26.7483,1.1047,11.4598,,,,,,,,
9.268,9.174,2.624743,-1.8166,33.2593,26.766,1.1043,11.4529,,,,,,,,
9.318,9.224,2.627105,-1.8172,33.2929,26.7934,1.0766,11.447,,,,,,,,
9.369,9.274,2.63037,-1.8174,33.3386,26.8305,1.0369,11.4319,,,,,,,,
9.422,9.326,2.633374,-1.8175,33.3805,26.8646,1.0282,11.4206,,,,,,,,
9.475,9.379,2.636304,-1.8173,33.4211,26.8976,1.093,11.4065,,,,,,,,
9.531,9.434,2.639139,-1.8165,33.4596,26.929,1.1926,11.3983,,,,,,,,
9.591,9.494,2.641221,-1.8158,33.4879,26.9519,1.2175,11.385,,,,,,,,
9.652,9.555,2.642773,-1.8159,33.5097,26.9696,1.1967,11.3801,,,,,,,,
9.715,9.617,2.644572,-1.8163,33.5352,26.9903,1.2027,11.3706,,,,,,,,
9.778,9.679,2.646157,-1.8165,33.5575,27.0085,1.205,11.3656,,,,,,,,
9.843,9.742,2.647473,-1.8155,33.5747,27.0224,1.2327,11.356,,,,,,,,
9.909,9.808,2.648418,-1.8141,33.5863,27.0318,1.2529,11.3564,,,,,,,,
9.977,9.876,2.648825,-1.8142,33.592,27.0365,1.2234,11.3507,,,,,,,,
10.051,9.949,2.648922,-1.8156,33.5948,27.0388,1.2185,11.3462,,,,,,,,
10.126,10.023,2.648948,-1.8166,33.5964,27.0401,1.2608,11.3424,,,,,,,,
10.201,10.098,2.649143,-1.8161,33.5983,27.0417,1.3001,11.3386,,,,,,,,
10.276,10.172,2.649368,-1.8146,33.5998,27.0428,1.3399,11.3363,,,,,,,,
10.348,10.243,2.64957,-1.8131,33.6009,27.0437,1.3596,11.3371,,,,,,,,
10.418,10.312,2.649672,-1.8125,33.6016,27.0442,1.3284,11.3348,,,,,,,,
