Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E10,,,,,,,,,,,,,,
Date:,5/23/2015,,,,,,,,,,,,,,
Time (ADST):,18:03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
5.226,5.173,0.052142,-0.0403,0.4822,0.2357,185.2266,11.9073,,,,,,,,
5.283,5.229,0.055132,-0.0431,0.5112,0.2592,184.0022,11.9143,,,,,,,,
5.338,5.284,0.058641,-0.0466,0.5453,0.2869,183.4049,11.9267,,,,,,,,
5.393,5.338,0.06185,-0.0498,0.5765,0.3123,185.0743,11.9416,,,,,,,,
5.448,5.393,0.064445,-0.0525,0.6019,0.3329,188.5506,11.9522,,,,,,,,
5.499,5.443,0.067525,-0.0546,0.6321,0.3574,193.6611,11.9632,,,,,,,,
5.547,5.492,0.068977,-0.0553,0.6462,0.369,199.8536,11.9779,,,,,,,,
5.598,5.54,0.068376,-0.0544,0.6403,0.3642,205.4885,11.9907,,,,,,,,
5.647,5.59,0.069871,-0.0541,0.655,0.3762,210.6212,12.0063,,,,,,,,
5.693,5.635,0.07059,-0.0537,0.662,0.382,213.2837,12.0224,,,,,,,,
5.738,5.68,0.06815,-0.0513,0.6381,0.3626,212.8143,12.041,,,,,,,,
5.785,5.726,0.065988,-0.0493,0.6169,0.3454,208.7031,12.0627,,,,,,,,
5.834,5.775,0.066379,-0.0491,0.6207,0.3485,204.2774,12.0829,,,,,,,,
5.88,5.82,0.067763,-0.0496,0.6342,0.3595,199.603,12.1074,,,,,,,,
5.925,5.864,0.068363,-0.0502,0.6401,0.3643,195.8054,12.1332,,,,,,,,
5.972,5.912,0.070611,-0.0519,0.6622,0.3823,194.43,12.1646,,,,,,,,
6.022,5.961,0.077634,-0.0562,0.7313,0.4386,193.8505,12.1895,,,,,,,,
6.073,6.011,0.088443,-0.063,0.8385,0.5257,190.8086,12.2259,,,,,,,,
6.129,6.067,0.102413,-0.0723,0.9781,0.6392,187.1081,12.2507,,,,,,,,
6.193,6.13,0.124009,-0.0861,1.1961,0.8165,184.6628,12.2821,,,,,,,,
6.261,6.197,0.15248,-0.1053,1.4873,1.053,183.8383,12.3062,,,,,,,,
6.325,6.261,0.18062,-0.1264,1.7791,1.2896,185.5421,12.3419,,,,,,,,
6.387,6.322,0.218798,-0.1487,2.1799,1.6147,188.0163,12.3669,,,,,,,,
6.451,6.386,0.255871,-0.1704,2.5742,1.9345,190.4397,12.3995,,,,,,,,
6.516,6.45,0.293575,-0.193,2.9801,2.2633,189.6351,12.433,,,,,,,,
6.58,6.513,0.343996,-0.2208,3.5297,2.7084,186.0505,12.4609,,,,,,,,
6.642,6.575,0.421028,-0.2546,4.3813,3.3982,179.5995,12.4655,,,,,,,,
6.7,6.632,0.502366,-0.2893,5.2956,4.138,168.5914,12.4762,,,,,,,,
6.755,6.687,0.578767,-0.3232,6.1675,4.8431,153.3969,12.4886,,,,,,,,
6.811,6.742,0.676944,-0.3668,7.3049,5.7623,135.473,12.4893,,,,,,,,
6.867,6.797,0.828477,-0.4301,9.093,7.2067,117.7459,12.4439,,,,,,,,
6.92,6.85,1.039448,-0.5155,11.6408,9.2637,100.355,12.3461,,,,,,,,
6.97,6.899,1.308368,-0.6168,14.9726,11.9532,82.0604,12.18,,,,,,,,
7.017,6.946,1.562619,-0.7175,18.2069,14.5644,65.3816,12.0453,,,,,,,,
7.068,6.996,1.765752,-0.8067,20.8507,16.7,53.4659,11.9445,,,,,,,,
7.121,7.05,1.892692,-0.8835,22.5437,18.0683,44.9146,11.9071,,,,,,,,
7.177,7.104,2.043156,-0.9806,24.5839,19.7187,37.5824,11.838,,,,,,,,
7.236,7.163,2.246278,-1.1115,27.3847,21.9868,31.0211,11.7087,,,,,,,,
7.3,7.226,2.401269,-1.2452,29.5913,23.7766,25.398,11.6188,,,,,,,,
7.365,7.29,2.512822,-1.3685,31.2311,25.1086,20.7032,11.5687,,,,,,,,
7.43,7.354,2.58002,-1.4748,32.2644,25.9496,17.1777,11.5452,,,,,,,,
7.494,7.418,2.612338,-1.5518,32.7935,26.3811,15.208,11.5361,,,,,,,,
7.556,7.479,2.625254,-1.5945,33.0191,26.5655,13.7707,11.5144,,,,,,,,
7.62,7.543,2.630857,-1.6217,33.127,26.6538,12.3074,11.4827,,,,,,,,
7.685,7.607,2.633556,-1.6518,33.198,26.7123,10.933,11.4568,,,,,,,,
7.751,7.672,2.635321,-1.6925,33.268,26.7702,9.7768,11.438,,,,,,,,
7.818,7.739,2.636299,-1.7167,33.3088,26.8038,8.4689,11.4157,,,,,,,,
7.885,7.805,2.636562,-1.7263,33.3231,26.8158,7.4959,11.3999,,,,,,,,
7.952,7.872,2.63674,-1.73,33.3299,26.8213,7.1728,11.389,,,,,,,,
8.02,7.938,2.636857,-1.7318,33.3334,26.8242,7.1612,11.3774,,,,,,,,
8.085,8.003,2.636993,-1.7329,33.3365,26.8268,7.0268,11.355,,,,,,,,
8.146,8.063,2.637179,-1.7339,33.3401,26.8298,6.7875,11.337,,,,,,,,
