"common_name","Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","status","max_grad","rrmse","aic"
"yellowfin sole",1,0,1,0,"FALSE","confirm_gradient",5.94339777393316e-08,2.064,301.454007705423
"Alaska plaice",0,1,1,0,"FALSE","confirm_gradient",5.3846160808823e-06,1.859,242.742800804396
"Arctic cod",0,1,1,0,"FALSE","confirm_gradient",6.46224940226148e-09,1.067,1658.17929269284
"Bering flounder",0,1,1,0,"FALSE","confirm_gradient",2.19915050614361e-08,1.037,681.139677854211
"Pacific cod",0,1,1,0,"FALSE",NA,NA,NA,NA
"saffron cod",0,1,1,0,"FALSE",NA,NA,NA,NA
"snow crab",0,1,1,0,"FALSE","confirm_gradient",7.95382179008541e-08,0.892,1758.76261237897
"walleye pollock",0,1,1,0,"FALSE","confirm_gradient",8.96417873263999e-09,2.038,280.081357140032
"yellowfin sole",0,1,1,0,"FALSE",NA,NA,NA,NA
"Alaska plaice",1,1,1,0,"FALSE",NA,NA,NA,NA
"Arctic cod",1,1,1,0,"FALSE","confirm_gradient",2.80264700336375e-12,1.067,1660.17929268444
"Bering flounder",1,1,1,0,"FALSE","confirm_gradient",6.79992240293359e-09,1.065,667.911281195662
"Pacific cod",1,1,1,0,"FALSE",NA,NA,NA,NA
"saffron cod",1,1,1,0,"FALSE","confirm_gradient",6.3326501376082e-08,2.088,570.960181799605
"snow crab",1,1,1,0,"FALSE",NA,NA,NA,NA
"walleye pollock",1,1,1,0,"FALSE","confirm_gradient",7.06587677257176e-10,1.99,281.981298461392
"yellowfin sole",1,1,1,0,"FALSE","confirm_gradient",4.12344523153731,0.787,307.7041837538
"Alaska plaice",0,0,0,1,"FALSE","confirm_gradient",6.94238555531967e-11,3.545,270.971482957861
"Arctic cod",0,0,0,1,"FALSE","confirm_gradient",3.17473309863203e-08,1.104,1647.06841463098
"Bering flounder",0,0,0,1,"FALSE","confirm_gradient",1.34210030200421e-07,1.671,737.497683907772
"Pacific cod",0,0,0,1,"FALSE","confirm_gradient",1.26358318253139e-09,5.538,201.662333061543
"saffron cod",0,0,0,1,"FALSE","confirm_gradient",1.86736535123799e-08,4.144,601.148885412775
"snow crab",0,0,0,1,"FALSE","confirm_gradient",5.81006016631136e-08,1.115,1759.81495979956
"walleye pollock",0,0,0,1,"FALSE","confirm_gradient",2.10545136880569e-09,4.576,304.178559951565
"yellowfin sole",0,0,0,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",1,0,0,1,"FALSE","confirm_gradient",1.30683019960971e-10,2.03,238.711480501463
"Arctic cod",1,0,0,1,"FALSE","confirm_gradient",1.04704639625197e-07,1.088,1649.71826805125
"Bering flounder",1,0,0,1,"FALSE","confirm_gradient",4.33357350004826e-10,1.033,675.125576082547
"Pacific cod",1,0,0,1,"FALSE",NA,NA,NA,NA
"saffron cod",1,0,0,1,"FALSE","confirm_gradient",1.4327218300636e-08,2.681,572.510131712051
"snow crab",1,0,0,1,"FALSE",NA,NA,NA,NA
"walleye pollock",1,0,0,1,"FALSE","confirm_gradient",1.91752214107055e-09,3.47,295.706986158944
"yellowfin sole",1,0,0,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",0,1,0,1,"FALSE","confirm_gradient",5.55643517308191e-10,3.545,272.971482957857
"Arctic cod",0,1,0,1,"FALSE","confirm_gradient",8.06636428762886e-08,1.116,1648.60918184925
"Bering flounder",0,1,0,1,"FALSE","confirm_gradient",8.02400315080831e-08,1.724,723.360408894462
"Pacific cod",0,1,0,1,"FALSE","confirm_gradient",4.68458605240585e-13,5.553,203.391447467356
"saffron cod",0,1,0,1,"FALSE","confirm_gradient",2.10668238409539e-09,4.165,599.955817089776
"snow crab",0,1,0,1,"FALSE","confirm_gradient",7.07277032496734e-08,1.106,1758.84038965129
"walleye pollock",0,1,0,1,"FALSE","confirm_gradient",2.95364802060938e-10,4.577,306.018848255344
"yellowfin sole",0,1,0,1,"FALSE","confirm_gradient",8.99550045563302e-10,3.313,346.137710375439
"Alaska plaice",1,1,0,1,"FALSE",NA,NA,NA,NA
"Arctic cod",1,1,0,1,"FALSE",NA,NA,NA,NA
"Bering flounder",1,1,0,1,"FALSE","confirm_gradient",8.49475156883273e-10,1.065,667.911281195743
"Pacific cod",1,1,0,1,"FALSE","confirm_gradient",1.35420791854251e-07,2.644,186.9734544357
"saffron cod",1,1,0,1,"FALSE","confirm_gradient",1.16381048353986e-07,2.765,572.581901787492
"snow crab",1,1,0,1,"FALSE",NA,NA,NA,NA
"walleye pollock",1,1,0,1,"FALSE","confirm_gradient",1.43221536400676e-10,3.47,297.706986153633
"yellowfin sole",1,1,0,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",0,0,1,1,"FALSE","confirm_gradient",8.11839784287116e-09,1.859,242.742800846343
"Arctic cod",0,0,1,1,"FALSE","confirm_gradient",2.33723868051848,0.9,1640.57635257624
"Bering flounder",0,0,1,1,"FALSE","confirm_gradient",3.56790152977737e-11,0.967,689.208834817988
"Pacific cod",0,0,1,1,"FALSE",NA,NA,NA,NA
"saffron cod",0,0,1,1,"FALSE","confirm_gradient",9.85580173029632e-10,2.179,571.621510599002
"snow crab",0,0,1,1,"FALSE",NA,NA,NA,NA
"walleye pollock",0,0,1,1,"FALSE",NA,NA,NA,NA
"yellowfin sole",0,0,1,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",1,0,1,1,"FALSE","confirm_gradient",7.13831075651401e-08,2.03,240.71148060739
"Arctic cod",1,0,1,1,"FALSE","confirm_gradient",1.81093167128665e-08,1.088,1651.71826798901
"Bering flounder",1,0,1,1,"FALSE","confirm_gradient",7.36304137660682e-08,1.033,677.125576112447
"Pacific cod",1,0,1,1,"FALSE",NA,NA,NA,NA
"saffron cod",1,0,1,1,"FALSE","confirm_gradient",2.1530245808421e-08,2.205,572.94942520615
"snow crab",1,0,1,1,"FALSE",NA,NA,NA,NA
"walleye pollock",1,0,1,1,"FALSE",NA,NA,NA,NA
"yellowfin sole",1,0,1,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",0,1,1,1,"FALSE",NA,NA,NA,NA
"Arctic cod",0,1,1,1,"FALSE","confirm_gradient",2.15159892566296,0.892,1641.88456616955
